OG,Gene,Species
N2.HOG0010732,scaffold3.g41,Aurelia
N2.HOG0010736,scaffold838.g7,Aurelia
N2.HOG0010740,scaffold999.g3,Aurelia
N2.HOG0010741,scaffold258.g18,Aurelia
N2.HOG0010744,scaffold571.g10,Aurelia
N2.HOG0010745,scaffold208.g13,Aurelia
N2.HOG0010747,scaffold214.g16,Aurelia
N2.HOG0010748,scaffold155.g6,Aurelia
N2.HOG0010749,scaffold142.g41,Aurelia
N2.HOG0010750,scaffold2199.g6,Aurelia
N2.HOG0010751,scaffold436.g3,Aurelia
N2.HOG0010752,scaffold170.g2,Aurelia
N2.HOG0010753,scaffold252.g21,Aurelia
N2.HOG0010756,scaffold1726.g5,Aurelia
N2.HOG0010761,scaffold1310.g4,Aurelia
N2.HOG0010762,scaffold30.g14,Aurelia
N2.HOG0010764,scaffold592.g10,Aurelia
N2.HOG0010765,scaffold875.g9,Aurelia
N2.HOG0010766,scaffold754.g2,Aurelia
N2.HOG0010767,scaffold52.g4,Aurelia
N2.HOG0010768,scaffold1755.g3,Aurelia
N2.HOG0010769,scaffold16.g9,Aurelia
N2.HOG0010771,scaffold154.g4,Aurelia
N2.HOG0010772,scaffold314.g18,Aurelia
N2.HOG0010774,scaffold1.g75,Aurelia
N2.HOG0010780,scaffold10.g23,Aurelia
N2.HOG0010781,scaffold1882.g1,Aurelia
N2.HOG0010782,scaffold1171.g4,Aurelia
N2.HOG0010783,scaffold908.g1,Aurelia
N2.HOG0010784,scaffold923.g7,Aurelia
N2.HOG0010785,scaffold2159.g2,Aurelia
N2.HOG0010786,scaffold266.g7,Aurelia
N2.HOG0010787,scaffold95.g11,Aurelia
N2.HOG0010788,scaffold231.g12,Aurelia
N2.HOG0010789,scaffold122.g38,Aurelia
N2.HOG0010790,scaffold148.g14,Aurelia
N2.HOG0010793,scaffold902.g7,Aurelia
N2.HOG0010794,scaffold102.g2,Aurelia
N2.HOG0010795,scaffold102.g3,Aurelia
N2.HOG0010798,scaffold1738.g1,Aurelia
N2.HOG0010799,scaffold4550.g1,Aurelia
N2.HOG0010800,scaffold401.g7,Aurelia
N2.HOG0010801,scaffold825.g10,Aurelia
N2.HOG0010802,scaffold229.g6,Aurelia
N2.HOG0010804,scaffold121.g3,Aurelia
N2.HOG0010813,scaffold462.g2,Aurelia
N2.HOG0010815,scaffold514.g12,Aurelia
N2.HOG0010817,scaffold126.g6,Aurelia
N2.HOG0010819,scaffold1343.g2,Aurelia
N2.HOG0010821,scaffold1714.g4,Aurelia
N2.HOG0010822,scaffold51.g40,Aurelia
N2.HOG0010824,scaffold1195.g5,Aurelia
N2.HOG0010825,scaffold307.g7,Aurelia
N2.HOG0010826,scaffold1035.g1,Aurelia
N2.HOG0010827,scaffold413.g6,Aurelia
N2.HOG0010828,scaffold15.g32,Aurelia
N2.HOG0010832,scaffold3334.g2,Aurelia
N2.HOG0010833,scaffold7.g53,Aurelia
N2.HOG0010835,scaffold388.g3,Aurelia
N2.HOG0010836,scaffold259.g23,Aurelia
N2.HOG0010837,scaffold1733.g4,Aurelia
N2.HOG0010838,scaffold458.g16,Aurelia
N2.HOG0010839,scaffold990.g9,Aurelia
N2.HOG0010841,scaffold560.g3,Aurelia
N2.HOG0010842,scaffold1416.g4,Aurelia
N2.HOG0010845,scaffold516.g5,Aurelia
N2.HOG0010846,scaffold305.g24,Aurelia
N2.HOG0010847,scaffold327.g12,Aurelia
N2.HOG0010849,scaffold341.g27,Aurelia
N2.HOG0010850,scaffold3592.g1,Aurelia
N2.HOG0010852,scaffold919.g6,Aurelia
N2.HOG0010854,scaffold585.g4,Aurelia
N2.HOG0010855,scaffold371.g18,Aurelia
N2.HOG0010856,scaffold28.g10,Aurelia
N2.HOG0010858,scaffold312.g5,Aurelia
N2.HOG0010862,scaffold1160.g7,Aurelia
N2.HOG0010863,scaffold1049.g3,Aurelia
N2.HOG0010864,scaffold308.g9,Aurelia
N2.HOG0010865,scaffold99.g12,Aurelia
N2.HOG0010866,scaffold277.g8,Aurelia
N2.HOG0010867,scaffold2847.g1,Aurelia
N2.HOG0010869,scaffold50.g37,Aurelia
N2.HOG0010870,scaffold2733.g2,Aurelia
N2.HOG0010875,scaffold429.g8,Aurelia
N2.HOG0010877,scaffold17.g39,Aurelia
N2.HOG0010878,scaffold3.g21,Aurelia
N2.HOG0010879,scaffold331.g10,Aurelia
N2.HOG0010881,scaffold343.g21,Aurelia
N2.HOG0010882,scaffold2045.g1,Aurelia
N2.HOG0010884,scaffold39.g17,Aurelia
N2.HOG0010887,scaffold189.g8,Aurelia
N2.HOG0010888,scaffold189.g10,Aurelia
N2.HOG0010889,scaffold6.g53,Aurelia
N2.HOG0010890,scaffold16.g23,Aurelia
N2.HOG0010892,scaffold697.g2,Aurelia
N2.HOG0010893,scaffold1112.g1,Aurelia
N2.HOG0010895,scaffold950.g1,Aurelia
N2.HOG0010896,scaffold209.g17,Aurelia
N2.HOG0010897,scaffold209.g20,Aurelia
N2.HOG0010898,scaffold1892.g1,Aurelia
N2.HOG0010900,scaffold6632.g1,Aurelia
N2.HOG0010902,scaffold4484.g1,Aurelia
N2.HOG0010904,scaffold1400.g2,Aurelia
N2.HOG0010907,scaffold21.g54,Aurelia
N2.HOG0010908,scaffold1901.g3,Aurelia
N2.HOG0010909,scaffold494.g15,Aurelia
N2.HOG0010910,scaffold24.g10,Aurelia
N2.HOG0010913,scaffold441.g1,Aurelia
N2.HOG0010914,scaffold304.g10,Aurelia
N2.HOG0010916,scaffold494.g13,Aurelia
N2.HOG0010918,scaffold3423.g1,Aurelia
N2.HOG0010919,scaffold347.g14,Aurelia
N2.HOG0010920,scaffold771.g3,Aurelia
N2.HOG0010921,scaffold12.g24,Aurelia
N2.HOG0010922,scaffold201.g15,Aurelia
N2.HOG0010925,scaffold2165.g2,Aurelia
N2.HOG0010926,scaffold1.g47,Aurelia
N2.HOG0010927,scaffold1324.g5,Aurelia
N2.HOG0010928,scaffold99.g2,Aurelia
N2.HOG0010929,scaffold632.g11,Aurelia
N2.HOG0010931,scaffold135.g11,Aurelia
N2.HOG0010933,scaffold765.g8,Aurelia
N2.HOG0010934,scaffold347.g3,Aurelia
N2.HOG0010935,scaffold855.g7,Aurelia
N2.HOG0010938,scaffold658.g2,Aurelia
N2.HOG0010939,scaffold1.g99,Aurelia
N2.HOG0010940,scaffold410.g3,Aurelia
N2.HOG0010941,scaffold920.g8,Aurelia
N2.HOG0010944,scaffold1145.g5,Aurelia
N2.HOG0010945,scaffold3283.g4,Aurelia
N2.HOG0010947,scaffold382.g8,Aurelia
N2.HOG0010948,scaffold128.g7,Aurelia
N2.HOG0010949,scaffold42.g13,Aurelia
N2.HOG0010950,scaffold704.g12,Aurelia
N2.HOG0010951,scaffold631.g9,Aurelia
N2.HOG0010952,scaffold1385.g1,Aurelia
N2.HOG0010954,scaffold54.g32,Aurelia
N2.HOG0010955,scaffold1361.g1,Aurelia
N2.HOG0010957,scaffold4.g48,Aurelia
N2.HOG0010958,scaffold83.g25,Aurelia
N2.HOG0010959,scaffold1754.g3,Aurelia
N2.HOG0010960,scaffold96.g39,Aurelia
N2.HOG0010963,scaffold122.g6,Aurelia
N2.HOG0010964,scaffold122.g7,Aurelia
N2.HOG0010965,scaffold3192.g1,Aurelia
N2.HOG0010966,scaffold478.g10,Aurelia
N2.HOG0010967,scaffold1757.g3,Aurelia
N2.HOG0010969,scaffold1915.g2,Aurelia
N2.HOG0010970,scaffold781.g17,Aurelia
N2.HOG0010971,scaffold42.g10,Aurelia
N2.HOG0010972,scaffold148.g4,Aurelia
N2.HOG0010973,scaffold879.g12,Aurelia
N2.HOG0010974,scaffold984.g2,Aurelia
N2.HOG0010977,scaffold1147.g3,Aurelia
N2.HOG0010978,scaffold2437.g3,Aurelia
N2.HOG0010979,scaffold616.g12,Aurelia
N2.HOG0010981,scaffold1147.g8,Aurelia
N2.HOG0010982,scaffold1322.g3,Aurelia
N2.HOG0010983,scaffold746.g2,Aurelia
N2.HOG0010984,scaffold175.g8,Aurelia
N2.HOG0010985,scaffold10.g228,Aurelia
N2.HOG0010989,scaffold2499.g2,Aurelia
N2.HOG0010990,scaffold689.g7,Aurelia
N2.HOG0010991,scaffold52.g23,Aurelia
N2.HOG0010994,scaffold513.g16,Aurelia
N2.HOG0010996,scaffold213.g8,Aurelia
N2.HOG0010997,scaffold5291.g1,Aurelia
N2.HOG0010999,scaffold83.g39,Aurelia
N2.HOG0011000,scaffold4112.g1,Aurelia
N2.HOG0011003,scaffold276.g15,Aurelia
N2.HOG0011004,scaffold1827.g4,Aurelia
N2.HOG0011005,scaffold270.g7,Aurelia
N2.HOG0011006,scaffold318.g8,Aurelia
N2.HOG0011007,scaffold960.g5,Aurelia
N2.HOG0011008,scaffold188.g11,Aurelia
N2.HOG0011009,scaffold541.g8,Aurelia
N2.HOG0011010,scaffold2857.g1,Aurelia
N2.HOG0011011,scaffold214.g14,Aurelia
N2.HOG0011012,scaffold359.g7,Aurelia
N2.HOG0011013,scaffold96.g9,Aurelia
N2.HOG0011014,scaffold1623.g5,Aurelia
N2.HOG0011015,scaffold876.g7,Aurelia
N2.HOG0011016,scaffold515.g6,Aurelia
N2.HOG0011018,scaffold622.g9,Aurelia
N2.HOG0011019,scaffold100.g4,Aurelia
N2.HOG0011020,scaffold697.g3,Aurelia
N2.HOG0011021,scaffold32.g26,Aurelia
N2.HOG0011024,scaffold756.g11,Aurelia
N2.HOG0011026,scaffold2089.g1,Aurelia
N2.HOG0011027,scaffold1623.g3,Aurelia
N2.HOG0011028,scaffold3642.g2,Aurelia
N2.HOG0011029,scaffold668.g8,Aurelia
N2.HOG0011032,scaffold816.g2,Aurelia
N2.HOG0011033,scaffold458.g14,Aurelia
N2.HOG0011034,scaffold1488.g2,Aurelia
N2.HOG0011036,scaffold108.g2,Aurelia
N2.HOG0011038,scaffold1395.g4,Aurelia
N2.HOG0011039,scaffold704.g11,Aurelia
N2.HOG0011042,scaffold94.g16,Aurelia
N2.HOG0011043,scaffold417.g11,Aurelia
N2.HOG0011044,scaffold359.g10,Aurelia
N2.HOG0011046,scaffold33.g22,Aurelia
N2.HOG0011047,scaffold93.g13,Aurelia
N2.HOG0011048,scaffold138.g16,Aurelia
N2.HOG0011049,scaffold3.g67,Aurelia
N2.HOG0011050,scaffold1576.g3,Aurelia
N2.HOG0011051,scaffold17.g25,Aurelia
N2.HOG0011053,scaffold476.g2,Aurelia
N2.HOG0011054,scaffold6.g20,Aurelia
N2.HOG0011055,scaffold47.g18,Aurelia
N2.HOG0011056,scaffold635.g4,Aurelia
N2.HOG0011058,scaffold293.g8,Aurelia
N2.HOG0011062,scaffold148.g13,Aurelia
N2.HOG0011066,scaffold360.g2,Aurelia
N2.HOG0011069,scaffold480.g11,Aurelia
N2.HOG0011070,scaffold523.g2,Aurelia
N2.HOG0011072,scaffold2.g58,Aurelia
N2.HOG0011074,scaffold60.g18,Aurelia
N2.HOG0011075,scaffold107.g11,Aurelia
N2.HOG0011076,scaffold891.g7,Aurelia
N2.HOG0011078,scaffold394.g14,Aurelia
N2.HOG0011079,scaffold2064.g3,Aurelia
N2.HOG0011080,scaffold2075.g1,Aurelia
N2.HOG0011082,scaffold137.g6,Aurelia
N2.HOG0011086,scaffold1182.g2,Aurelia
N2.HOG0011087,scaffold106.g22,Aurelia
N2.HOG0011089,scaffold3418.g2,Aurelia
N2.HOG0011091,scaffold329.g22,Aurelia
N2.HOG0011092,scaffold10.g142,Aurelia
N2.HOG0011093,scaffold2358.g3,Aurelia
N2.HOG0011098,scaffold31.g8,Aurelia
N2.HOG0011099,scaffold47.g23,Aurelia
N2.HOG0011101,scaffold968.g7,Aurelia
N2.HOG0011102,scaffold981.g12,Aurelia
N2.HOG0011104,scaffold3.g6,Aurelia
N2.HOG0011105,scaffold1147.g1,Aurelia
N2.HOG0011106,scaffold5907.g1,Aurelia
N2.HOG0011107,scaffold217.g21,Aurelia
N2.HOG0011109,scaffold552.g6,Aurelia
N2.HOG0011110,scaffold154.g15,Aurelia
N2.HOG0011111,scaffold3.g20,Aurelia
N2.HOG0011112,scaffold1553.g4,Aurelia
N2.HOG0011113,scaffold84.g20,Aurelia
N2.HOG0011115,scaffold2554.g1,Aurelia
N2.HOG0011120,scaffold45.g32,Aurelia
N2.HOG0011123,scaffold603.g9,Aurelia
N2.HOG0011124,scaffold115.g16,Aurelia
N2.HOG0011126,scaffold23.g2,Aurelia
N2.HOG0011127,scaffold898.g6,Aurelia
N2.HOG0011128,scaffold500.g10,Aurelia
N2.HOG0011130,scaffold14.g16,Aurelia
N2.HOG0011131,scaffold47.g27,Aurelia
N2.HOG0011132,scaffold823.g6,Aurelia
N2.HOG0011133,scaffold2380.g1,Aurelia
N2.HOG0011135,scaffold27.g32,Aurelia
N2.HOG0011137,scaffold204.g3,Aurelia
N2.HOG0011138,scaffold4649.g1,Aurelia
N2.HOG0011139,scaffold1823.g2,Aurelia
N2.HOG0011140,scaffold405.g10,Aurelia
N2.HOG0011141,scaffold271.g11,Aurelia
N2.HOG0011142,scaffold5915.g1,Aurelia
N2.HOG0011143,scaffold1844.g6,Aurelia
N2.HOG0011145,scaffold51.g29,Aurelia
N2.HOG0011146,scaffold129.g4,Aurelia
N2.HOG0011148,scaffold389.g10,Aurelia
N2.HOG0011149,scaffold1415.g5,Aurelia
N2.HOG0011150,scaffold804.g10,Aurelia
N2.HOG0011151,scaffold41.g15,Aurelia
N2.HOG0011152,scaffold170.g28,Aurelia
N2.HOG0011153,scaffold1571.g5,Aurelia
N2.HOG0011156,scaffold88.g12,Aurelia
N2.HOG0011157,scaffold435.g14,Aurelia
N2.HOG0011158,scaffold302.g14,Aurelia
N2.HOG0011159,scaffold136.g6,Aurelia
N2.HOG0011160,scaffold144.g13,Aurelia
N2.HOG0011161,scaffold825.g3,Aurelia
N2.HOG0011163,scaffold1374.g3,Aurelia
N2.HOG0011164,scaffold2324.g1,Aurelia
N2.HOG0011165,scaffold657.g10,Aurelia
N2.HOG0011166,scaffold354.g16,Aurelia
N2.HOG0011169,scaffold2226.g1,Aurelia
N2.HOG0011170,scaffold460.g17,Aurelia
N2.HOG0011172,scaffold184.g22,Aurelia
N2.HOG0011177,scaffold365.g8,Aurelia
N2.HOG0011179,scaffold2157.g2,Aurelia
N2.HOG0011180,scaffold234.g22,Aurelia
N2.HOG0011181,scaffold849.g10,Aurelia
N2.HOG0011183,scaffold1695.g8,Aurelia
N2.HOG0011184,scaffold143.g24,Aurelia
N2.HOG0011185,scaffold69.g17,Aurelia
N2.HOG0011186,scaffold364.g15,Aurelia
N2.HOG0011191,scaffold227.g21,Aurelia
N2.HOG0011192,scaffold12.g38,Aurelia
N2.HOG0011194,scaffold710.g1,Aurelia
N2.HOG0011195,scaffold19.g28,Aurelia
N2.HOG0011196,scaffold61.g14,Aurelia
N2.HOG0011199,scaffold17.g32,Aurelia
N2.HOG0011200,scaffold258.g14,Aurelia
N2.HOG0011201,scaffold26.g20,Aurelia
N2.HOG0011203,scaffold770.g8,Aurelia
N2.HOG0011204,scaffold317.g20,Aurelia
N2.HOG0011206,scaffold545.g9,Aurelia
N2.HOG0011208,scaffold314.g20,Aurelia
N2.HOG0011209,scaffold1616.g3,Aurelia
N2.HOG0011210,scaffold147.g9,Aurelia
N2.HOG0011212,scaffold168.g12,Aurelia
N2.HOG0011213,scaffold7.g21,Aurelia
N2.HOG0011214,scaffold2147.g2,Aurelia
N2.HOG0011216,scaffold434.g4,Aurelia
N2.HOG0011217,scaffold434.g3,Aurelia
N2.HOG0011218,scaffold702.g3,Aurelia
N2.HOG0011219,scaffold51.g11,Aurelia
N2.HOG0011221,scaffold692.g3,Aurelia
N2.HOG0011222,scaffold376.g11,Aurelia
N2.HOG0011223,scaffold864.g7,Aurelia
N2.HOG0011225,scaffold1855.g2,Aurelia
N2.HOG0011226,scaffold137.g20,Aurelia
N2.HOG0011229,scaffold726.g1,Aurelia
N2.HOG0011231,scaffold595.g8,Aurelia
N2.HOG0011236,scaffold1346.g3,Aurelia
N2.HOG0011241,scaffold1177.g2,Aurelia
N2.HOG0011243,scaffold24.g26,Aurelia
N2.HOG0011245,scaffold180.g14,Aurelia
N2.HOG0011246,scaffold24.g36,Aurelia
N2.HOG0011249,scaffold302.g12,Aurelia
N2.HOG0011250,scaffold572.g4,Aurelia
N2.HOG0011251,scaffold318.g9,Aurelia
N2.HOG0011252,scaffold29.g48,Aurelia
N2.HOG0011253,scaffold39.g4,Aurelia
N2.HOG0011255,scaffold1058.g3,Aurelia
N2.HOG0011256,scaffold681.g11,Aurelia
N2.HOG0011260,scaffold860.g4,Aurelia
N2.HOG0011262,scaffold63.g30,Aurelia
N2.HOG0011263,scaffold169.g20,Aurelia
N2.HOG0011264,scaffold1107.g6,Aurelia
N2.HOG0011266,scaffold1010.g7,Aurelia
N2.HOG0011267,scaffold46.g7,Aurelia
N2.HOG0011268,scaffold481.g19,Aurelia
N2.HOG0011269,scaffold35.g40,Aurelia
N2.HOG0011271,scaffold2210.g1,Aurelia
N2.HOG0011272,scaffold616.g10,Aurelia
N2.HOG0011273,scaffold169.g12,Aurelia
N2.HOG0011274,scaffold107.g12,Aurelia
N2.HOG0011275,scaffold300.g7,Aurelia
N2.HOG0011276,scaffold2547.g2,Aurelia
N2.HOG0011277,scaffold224.g3,Aurelia
N2.HOG0011278,scaffold224.g4,Aurelia
N2.HOG0011279,scaffold303.g2,Aurelia
N2.HOG0011281,scaffold2213.g2,Aurelia
N2.HOG0011283,scaffold871.g8,Aurelia
N2.HOG0011284,scaffold1066.g13,Aurelia
N2.HOG0011286,scaffold232.g22,Aurelia
N2.HOG0011287,scaffold1278.g6,Aurelia
N2.HOG0011290,scaffold1818.g6,Aurelia
N2.HOG0011292,scaffold3032.g1,Aurelia
N2.HOG0011293,scaffold2297.g4,Aurelia
N2.HOG0011294,scaffold98.g7,Aurelia
N2.HOG0011296,scaffold427.g8,Aurelia
N2.HOG0011298,scaffold554.g3,Aurelia
N2.HOG0011301,scaffold349.g9,Aurelia
N2.HOG0011302,scaffold933.g4,Aurelia
N2.HOG0011305,scaffold3472.g2,Aurelia
N2.HOG0011306,scaffold410.g2,Aurelia
N2.HOG0011307,scaffold640.g9,Aurelia
N2.HOG0011308,scaffold47.g31,Aurelia
N2.HOG0011310,scaffold198.g1,Aurelia
N2.HOG0011311,scaffold117.g17,Aurelia
N2.HOG0011312,scaffold159.g24,Aurelia
N2.HOG0011313,scaffold177.g30,Aurelia
N2.HOG0011314,scaffold171.g19,Aurelia
N2.HOG0011315,scaffold444.g16,Aurelia
N2.HOG0011316,scaffold823.g2,Aurelia
N2.HOG0011319,scaffold124.g10,Aurelia
N2.HOG0011321,scaffold109.g21,Aurelia
N2.HOG0011323,scaffold763.g2,Aurelia
N2.HOG0011324,scaffold570.g3,Aurelia
N2.HOG0011325,scaffold82.g32,Aurelia
N2.HOG0011326,scaffold7.g24,Aurelia
N2.HOG0011328,scaffold113.g27,Aurelia
N2.HOG0011329,scaffold119.g30,Aurelia
N2.HOG0011331,scaffold187.g2,Aurelia
N2.HOG0011332,scaffold672.g2,Aurelia
N2.HOG0011335,scaffold55.g23,Aurelia
N2.HOG0011336,scaffold5844.g1,Aurelia
N2.HOG0011340,scaffold2038.g3,Aurelia
N2.HOG0011341,scaffold4613.g1,Aurelia
N2.HOG0011342,scaffold778.g1,Aurelia
N2.HOG0011343,scaffold1783.g2,Aurelia
N2.HOG0011344,scaffold125.g26,Aurelia
N2.HOG0011346,scaffold18.g64,Aurelia
N2.HOG0011347,scaffold1003.g2,Aurelia
N2.HOG0011348,scaffold356.g18,Aurelia
N2.HOG0011350,scaffold93.g32,Aurelia
N2.HOG0011351,scaffold65.g4,Aurelia
N2.HOG0011353,scaffold132.g4,Aurelia
N2.HOG0011354,scaffold363.g16,Aurelia
N2.HOG0011356,scaffold1744.g6,Aurelia
N2.HOG0011357,scaffold72.g19,Aurelia
N2.HOG0011359,scaffold947.g1,Aurelia
N2.HOG0011360,scaffold3217.g2,Aurelia
N2.HOG0011361,scaffold4663.g1,Aurelia
N2.HOG0011363,scaffold887.g9,Aurelia
N2.HOG0011366,scaffold19.g9,Aurelia
N2.HOG0011368,scaffold577.g4,Aurelia
N2.HOG0011370,scaffold329.g13,Aurelia
N2.HOG0011371,scaffold538.g9,Aurelia
N2.HOG0011372,scaffold2052.g6,Aurelia
N2.HOG0011374,scaffold370.g13,Aurelia
N2.HOG0011376,scaffold71.g13,Aurelia
N2.HOG0011378,scaffold83.g17,Aurelia
N2.HOG0011382,scaffold1186.g4,Aurelia
N2.HOG0011383,scaffold1186.g3,Aurelia
N2.HOG0011387,scaffold53.g34,Aurelia
N2.HOG0011388,scaffold69.g18,Aurelia
N2.HOG0011389,scaffold100.g3,Aurelia
N2.HOG0011390,scaffold42.g15,Aurelia
N2.HOG0011392,scaffold1820.g3,Aurelia
N2.HOG0011393,scaffold1984.g3,Aurelia
N2.HOG0011394,scaffold107.g4,Aurelia
N2.HOG0011395,scaffold1462.g5,Aurelia
N2.HOG0011399,scaffold289.g3,Aurelia
N2.HOG0011400,scaffold922.g6,Aurelia
N2.HOG0011401,scaffold102.g22,Aurelia
N2.HOG0011404,scaffold2312.g2,Aurelia
N2.HOG0011405,scaffold157.g21,Aurelia
N2.HOG0011406,scaffold34.g29,Aurelia
N2.HOG0011408,scaffold35.g31,Aurelia
N2.HOG0011409,scaffold163.g18,Aurelia
N2.HOG0011410,scaffold2528.g1,Aurelia
N2.HOG0011411,scaffold634.g19,Aurelia
N2.HOG0011413,scaffold2007.g2,Aurelia
N2.HOG0011414,scaffold511.g6,Aurelia
N2.HOG0011415,scaffold87.g30,Aurelia
N2.HOG0011416,scaffold1441.g2,Aurelia
N2.HOG0011418,scaffold315.g11,Aurelia
N2.HOG0011419,scaffold210.g6,Aurelia
N2.HOG0011422,scaffold615.g9,Aurelia
N2.HOG0011424,scaffold1182.g3,Aurelia
N2.HOG0011425,scaffold248.g14,Aurelia
N2.HOG0011426,scaffold940.g1,Aurelia
N2.HOG0011427,scaffold4.g15,Aurelia
N2.HOG0011428,scaffold927.g10,Aurelia
N2.HOG0011431,scaffold21.g31,Aurelia
N2.HOG0011433,scaffold1143.g1,Aurelia
N2.HOG0011436,scaffold79.g14,Aurelia
N2.HOG0011438,scaffold1152.g2,Aurelia
N2.HOG0011440,scaffold2674.g2,Aurelia
N2.HOG0011443,scaffold12.g37,Aurelia
N2.HOG0011447,scaffold242.g1,Aurelia
N2.HOG0011449,scaffold640.g12,Aurelia
N2.HOG0011451,scaffold2895.g4,Aurelia
N2.HOG0011452,scaffold234.g1,Aurelia
N2.HOG0011454,scaffold1403.g4,Aurelia
N2.HOG0011459,scaffold681.g12,Aurelia
N2.HOG0011461,scaffold1022.g6,Aurelia
N2.HOG0011465,scaffold269.g1,Aurelia
N2.HOG0011469,scaffold1689.g3,Aurelia
N2.HOG0011470,scaffold2687.g1,Aurelia
N2.HOG0011471,scaffold34.g39,Aurelia
N2.HOG0011475,scaffold840.g4,Aurelia
N2.HOG0011478,scaffold1650.g3,Aurelia
N2.HOG0011479,scaffold43.g40,Aurelia
N2.HOG0011480,scaffold944.g1,Aurelia
N2.HOG0011481,scaffold6.g59,Aurelia
N2.HOG0011482,scaffold5.g27,Aurelia
N2.HOG0011484,scaffold684.g2,Aurelia
N2.HOG0011487,scaffold177.g32,Aurelia
N2.HOG0011489,scaffold5.g44,Aurelia
N2.HOG0011490,scaffold328.g5,Aurelia
N2.HOG0011491,scaffold88.g20,Aurelia
N2.HOG0011492,scaffold920.g4,Aurelia
N2.HOG0011493,scaffold1.g14,Aurelia
N2.HOG0011494,scaffold1.g20,Aurelia
N2.HOG0011495,scaffold1.g45,Aurelia
N2.HOG0011496,scaffold2.g91,Aurelia
N2.HOG0011497,scaffold4.g44,Aurelia
N2.HOG0011498,scaffold7.g27,Aurelia
N2.HOG0011499,scaffold7.g67,Aurelia
N2.HOG0011500,scaffold862.g16,Aurelia
N2.HOG0011501,scaffold12.g65,Aurelia
N2.HOG0011502,scaffold149.g18,Aurelia
N2.HOG0011503,scaffold46.g23,Aurelia
N2.HOG0011504,scaffold17.g4,Aurelia
N2.HOG0011505,scaffold280.g4,Aurelia
N2.HOG0011506,scaffold27.g16,Aurelia
N2.HOG0011507,scaffold28.g27,Aurelia
N2.HOG0011508,scaffold32.g15,Aurelia
N2.HOG0011509,scaffold829.g1,Aurelia
N2.HOG0011510,scaffold323.g7,Aurelia
N2.HOG0011511,scaffold38.g5,Aurelia
N2.HOG0011512,scaffold38.g6,Aurelia
N2.HOG0011513,scaffold1011.g11,Aurelia
N2.HOG0011514,scaffold40.g17,Aurelia
N2.HOG0011515,scaffold46.g35,Aurelia
N2.HOG0011516,scaffold191.g11,Aurelia
N2.HOG0011517,scaffold48.g12,Aurelia
N2.HOG0011518,scaffold52.g6,Aurelia
N2.HOG0011519,scaffold54.g45,Aurelia
N2.HOG0011520,scaffold56.g32,Aurelia
N2.HOG0011521,scaffold91.g5,Aurelia
N2.HOG0011522,scaffold82.g3,Aurelia
N2.HOG0011523,scaffold60.g37,Aurelia
N2.HOG0011524,scaffold1747.g15,Aurelia
N2.HOG0011525,scaffold69.g44,Aurelia
N2.HOG0011526,scaffold73.g31,Aurelia
N2.HOG0011527,scaffold77.g15,Aurelia
N2.HOG0011528,scaffold79.g19,Aurelia
N2.HOG0011529,scaffold1339.g7,Aurelia
N2.HOG0011530,scaffold3603.g1,Aurelia
N2.HOG0011531,scaffold86.g21,Aurelia
N2.HOG0011532,scaffold87.g16,Aurelia
N2.HOG0011533,scaffold92.g9,Aurelia
N2.HOG0011534,scaffold93.g15,Aurelia
N2.HOG0011535,scaffold1429.g1,Aurelia
N2.HOG0011536,scaffold96.g30,Aurelia
N2.HOG0011537,scaffold2244.g2,Aurelia
N2.HOG0011538,scaffold110.g15,Aurelia
N2.HOG0011539,scaffold113.g21,Aurelia
N2.HOG0011540,scaffold160.g3,Aurelia
N2.HOG0011541,scaffold116.g27,Aurelia
N2.HOG0011542,scaffold942.g6,Aurelia
N2.HOG0011543,scaffold118.g9,Aurelia
N2.HOG0011544,scaffold118.g27,Aurelia
N2.HOG0011545,scaffold121.g7,Aurelia
N2.HOG0011546,scaffold126.g13,Aurelia
N2.HOG0011547,scaffold128.g8,Aurelia
N2.HOG0011548,scaffold153.g29,Aurelia
N2.HOG0011549,scaffold159.g9,Aurelia
N2.HOG0011550,scaffold166.g7,Aurelia
N2.HOG0011551,scaffold167.g18,Aurelia
N2.HOG0011552,scaffold168.g21,Aurelia
N2.HOG0011553,scaffold1061.g1,Aurelia
N2.HOG0011554,scaffold177.g37,Aurelia
N2.HOG0011555,scaffold1519.g1,Aurelia
N2.HOG0011558,scaffold186.g27,Aurelia
N2.HOG0011559,scaffold192.g10,Aurelia
N2.HOG0011560,scaffold193.g13,Aurelia
N2.HOG0011562,scaffold198.g39,Aurelia
N2.HOG0011563,scaffold199.g16,Aurelia
N2.HOG0011564,scaffold2555.g2,Aurelia
N2.HOG0011565,scaffold203.g2,Aurelia
N2.HOG0011566,scaffold203.g18,Aurelia
N2.HOG0011567,scaffold204.g9,Aurelia
N2.HOG0011568,scaffold205.g13,Aurelia
N2.HOG0011569,scaffold212.g9,Aurelia
N2.HOG0011570,scaffold1127.g2,Aurelia
N2.HOG0011571,scaffold216.g1,Aurelia
N2.HOG0011573,scaffold216.g9,Aurelia
N2.HOG0011574,scaffold217.g8,Aurelia
N2.HOG0011575,scaffold221.g8,Aurelia
N2.HOG0011576,scaffold2080.g1,Aurelia
N2.HOG0011577,scaffold232.g6,Aurelia
N2.HOG0011578,scaffold237.g18,Aurelia
N2.HOG0011579,scaffold238.g28,Aurelia
