# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-a" "results/reference/GHAQ01.1.fsa_nt.fasta.fixed_longestORFperGene.fasta.eggnog.gtf" "-o" "results/counts/counts_matrix.txt" "-t" "exon" "-g" "gene_id" "-G" "results/reference/GHAQ01.1.fsa_nt.fasta.fixed_longestORFperGene.fasta" "-T" "20" "results/star/mapping/SRR8101518/Aligned.out.sam" "results/star/mapping/SRR8101523/Aligned.out.sam" "results/star/mapping/SRR8101526/Aligned.out.sam" "results/star/mapping/SRR8101525/Aligned.out.sam" 
Geneid	Chr	Start	End	Strand	Length	results/star/mapping/SRR8101518/Aligned.out.sam	results/star/mapping/SRR8101523/Aligned.out.sam	results/star/mapping/SRR8101526/Aligned.out.sam	results/star/mapping/SRR8101525/Aligned.out.sam
comp36106_c0	comp36106_c0_seq2	1	705	-	705	28	11	18	17
comp36119_c0	comp36119_c0_seq1	1	420	-	420	2	2	1	3
comp36127_c0	comp36127_c0_seq1	1	546	-	546	0	0	0	0
comp36139_c0	comp36139_c0_seq1	1	461	-	461	2	3	5	1
comp36144_c0	comp36144_c0_seq2	1	764	-	764	216	298	302	220
comp36184_c0	comp36184_c0_seq1	1	677	-	677	13	14	19	18
comp36188_c0	comp36188_c0_seq1	1	1401	-	1401	2510	1237	3405	3652
comp36199_c0	comp36199_c0_seq1	1	1534	-	1534	51	6	21	32
comp36200_c0	comp36200_c0_seq1	1	1846	-	1846	0	2	0	76
comp36205_c1	comp36205_c1_seq1	1	343	-	343	1	1	15	4
comp36205_c2	comp36205_c2_seq1	1	2564	-	2564	17	1	99	26
comp36214_c0	comp36214_c0_seq1	1	2741	-	2741	4566	4109	6123	7598
comp36221_c0	comp36221_c0_seq1	1	380	-	380	0	0	0	0
comp36227_c0	comp36227_c0_seq1	1	1392	-	1392	478	623	554	423
comp36239_c0	comp36239_c0_seq1	1	1600	-	1600	113	100	115	155
comp36244_c0	comp36244_c0_seq1	1	2864	-	2864	271	297	307	124
comp36260_c1	comp36260_c1_seq1	1	963	-	963	24	44	21	21
comp36294_c0	comp36294_c0_seq2	1	2454	-	2454	96	90	74	98
comp36301_c0	comp36301_c0_seq2	1	926	-	926	24	7	5	12
comp36303_c0	comp36303_c0_seq2	1	1552	-	1552	123	26	132	191
comp36310_c0	comp36310_c0_seq1	1	3339	-	3339	5169	2567	5266	6072
comp36314_c0	comp36314_c0_seq1	1	574	-	574	36	18	34	24
comp36331_c0	comp36331_c0_seq1	1	707	-	707	10126	6204	10412	12967
comp36344_c1	comp36344_c1_seq1	1	1045	-	1045	42	431	69	90
comp36351_c0	comp36351_c0_seq1	1	605	-	605	14219	10096	15117	17436
comp36356_c1	comp36356_c1_seq1	1	2080	-	2080	27	4	206	69
comp36362_c0	comp36362_c0_seq1	1	421	-	421	17	3	64	24
comp36362_c1	comp36362_c1_seq1	1	488	-	488	22	4	51	25
comp36369_c0	comp36369_c0_seq1	1	1461	-	1461	30732	17796	31664	30050
comp36370_c0	comp36370_c0_seq1	1	1206	-	1206	17	47	34	19
comp36370_c1	comp36370_c1_seq1	1	1404	-	1404	34	55	47	32
comp36379_c0	comp36379_c0_seq1	1	3327	-	3327	6781	3921	5940	8759
comp36381_c0	comp36381_c0_seq1	1	2184	-	2184	2850	3431	2028	2650
comp36390_c0	comp36390_c0_seq1	1	593	-	593	0	0	0	0
comp36391_c0	comp36391_c0_seq1	1	414	-	414	2	4	0	0
comp36399_c0	comp36399_c0_seq1	1	1975	-	1975	31	81	66	43
comp36402_c0	comp36402_c0_seq1	1	1122	-	1122	41	0	239	51
comp36402_c1	comp36402_c1_seq1	1	1857	-	1857	40	0	239	51
comp36402_c2	comp36402_c2_seq1	1	847	-	847	13	0	70	24
comp36406_c0	comp36406_c0_seq1	1	1859	-	1859	40	51	48	45
comp36434_c1	comp36434_c1_seq1	1	560	-	560	9	9	17	4
comp36470_c0	comp36470_c0_seq1	1	976	-	976	1	0	299	2
comp36487_c0	comp36487_c0_seq2	1	1896	-	1896	18	2	204	19
comp36490_c1	comp36490_c1_seq1	1	856	-	856	37	19	23	16
comp36504_c0	comp36504_c0_seq1	1	2720	-	2720	11665	6437	17114	17366
comp36513_c0	comp36513_c0_seq1	1	414	-	414	0	0	0	0
comp36515_c0	comp36515_c0_seq1	1	426	-	426	26	29	12	13
comp36550_c0	comp36550_c0_seq1	1	410	-	410	2	6	4	3
comp36556_c0	comp36556_c0_seq1	1	365	-	365	0	1	2	0
comp36563_c0	comp36563_c0_seq1	1	4541	-	4541	5922	4022	4865	5364
comp36565_c0	comp36565_c0_seq1	1	461	-	461	4	20	16	8
comp36567_c0	comp36567_c0_seq1	1	3220	-	3220	0	6	52	602
comp36585_c0	comp36585_c0_seq1	1	502	-	502	9	0	8	13
comp36588_c1	comp36588_c1_seq1	1	1393	-	1393	92	27	60	45
comp36598_c0	comp36598_c0_seq1	1	2001	-	2001	302	121	380	274
comp36603_c0	comp36603_c0_seq2	1	764	-	764	162	24	28	48
comp36621_c0	comp36621_c0_seq1	1	1381	-	1381	36	24	19	43
comp36622_c0	comp36622_c0_seq1	1	1339	-	1339	331	308	341	319
comp36622_c1	comp36622_c1_seq1	1	560	-	560	12	9	9	1
comp36627_c0	comp36627_c0_seq1	1	766	-	766	823	648	640	1115
comp36630_c1	comp36630_c1_seq1	1	516	-	516	0	0	21	1
comp36630_c2	comp36630_c2_seq1	1	1396	-	1396	14	8	180	18
comp36639_c0	comp36639_c0_seq1	1	1209	-	1209	57	64	88	74
comp36652_c0	comp36652_c0_seq1	1	377	-	377	0	0	3	4
comp36656_c0	comp36656_c0_seq1	1	1335	-	1335	1486	1885	2646	2646
comp36661_c0	comp36661_c0_seq1	1	374	-	374	4	3	0	9
comp36687_c0	comp36687_c0_seq1	1	2345	-	2345	207	131	355	357
comp36708_c0	comp36708_c0_seq1	1	1699	-	1699	881	1680	1919	1968
comp36711_c0	comp36711_c0_seq1	1	1858	-	1858	41	13	88	54
comp36714_c0	comp36714_c0_seq1	1	1871	-	1871	39	72	72	159
comp36715_c0	comp36715_c0_seq1	1	2131	-	2131	66	69	50	47
comp36719_c0	comp36719_c0_seq1	1	1034	-	1034	59	34	26	25
comp36729_c0	comp36729_c0_seq1	1	845	-	845	39	2	8	27
comp36730_c0	comp36730_c0_seq1	1	611	-	611	0	0	0	0
comp36733_c0	comp36733_c0_seq1	1	605	-	605	15	6	14	16
comp36739_c0	comp36739_c0_seq1	1	1469	-	1469	420	279	225	139
comp36754_c0	comp36754_c0_seq1	1	1516	-	1516	538	47	266	548
comp36770_c1	comp36770_c1_seq1	1	2403	-	2403	124	486	107	17
comp36788_c0	comp36788_c0_seq1	1	1822	-	1822	44	35	23	29
comp36804_c0	comp36804_c0_seq1	1	2479	-	2479	19173	4897	13031	25175
comp36812_c0	comp36812_c0_seq1	1	7318	-	7318	22	6123	150	38
comp36817_c0	comp36817_c0_seq1	1	2051	-	2051	859	47	48	103
comp36830_c0	comp36830_c0_seq1	1	1025	-	1025	25	38	57	69
comp36830_c1	comp36830_c1_seq1	1	685	-	685	19	28	32	36
comp36851_c0	comp36851_c0_seq1	1	495	-	495	0	0	0	0
comp36857_c0	comp36857_c0_seq1	1	1863	-	1863	5	1	2	0
comp36863_c0	comp36863_c0_seq1	1	1672	-	1672	101	39	321	365
comp36864_c0	comp36864_c0_seq1	1	464	-	464	4	4	9	6
comp36868_c0	comp36868_c0_seq2	1	2135	-	2135	538	383	645	675
comp36877_c1	comp36877_c1_seq1	1	1254	-	1254	174	0	0	11
comp36879_c1	comp36879_c1_seq1	1	1713	-	1713	42	22	26	21
comp36879_c2	comp36879_c2_seq1	1	783	-	783	18	8	10	6
comp36884_c0	comp36884_c0_seq1	1	2483	-	2483	50	56	61	59
comp36898_c0	comp36898_c0_seq1	1	2494	-	2494	4050	4900	6167	7883
comp36900_c0	comp36900_c0_seq3	1	4909	-	4909	405	465	352	211
comp36907_c0	comp36907_c0_seq1	1	299	-	299	12	4	9	19
comp36909_c0	comp36909_c0_seq1	1	1409	-	1409	208	47	122	826
comp36910_c0	comp36910_c0_seq1	1	1246	-	1246	1136	564	1159	889
comp36918_c0	comp36918_c0_seq1	1	996	-	996	3	2	7	10
comp36930_c0	comp36930_c0_seq1	1	349	-	349	0	0	0	0
comp36945_c0	comp36945_c0_seq1	1	3374	-	3374	7463	11657	7856	7161
comp36948_c0	comp36948_c0_seq1	1	2760	-	2760	5398	15410	4239	3722
comp36949_c1	comp36949_c1_seq1	1	1399	-	1399	1134	161	500	686
comp36957_c1	comp36957_c1_seq1	1	363	-	363	0	8	11	2
comp36963_c1	comp36963_c1_seq1	1	1711	-	1711	4	785	21	1
comp36971_c1	comp36971_c1_seq1	1	4589	-	4589	141	62	120	118
comp36972_c0	comp36972_c0_seq1	1	933	-	933	19	20	32	31
comp36996_c0	comp36996_c0_seq1	1	551	-	551	17	10	6	6
comp36996_c1	comp36996_c1_seq1	1	404	-	404	8	9	8	4
comp37008_c0	comp37008_c0_seq2	1	1840	-	1840	13	2	108	21
comp37009_c0	comp37009_c0_seq1	1	1813	-	1813	24121	12085	25452	28922
comp37013_c0	comp37013_c0_seq1	1	335	-	335	43	3	59	66
comp37019_c1	comp37019_c1_seq1	1	806	-	806	1	2	3	0
comp37042_c0	comp37042_c0_seq1	1	746	-	746	15	1	25	21
comp37045_c0	comp37045_c0_seq1	1	482	-	482	0	0	0	0
comp37050_c0	comp37050_c0_seq1	1	2238	-	2238	2081	1515	2809	2036
comp37068_c0	comp37068_c0_seq1	1	927	-	927	50	34	37	29
comp37075_c0	comp37075_c0_seq1	1	3407	-	3407	124	614	1041	53
comp37080_c0	comp37080_c0_seq2	1	4352	-	4352	3216	1631	3981	4705
comp37082_c0	comp37082_c0_seq1	1	1747	-	1747	89	85	40	47
comp37088_c0	comp37088_c0_seq1	1	2529	-	2529	643	64	1	44
comp37089_c0	comp37089_c0_seq1	1	385	-	385	24	10	19	6
comp37100_c0	comp37100_c0_seq1	1	1621	-	1621	44	51	48	72
comp37100_c1	comp37100_c1_seq1	1	703	-	703	19	33	27	30
comp37113_c0	comp37113_c0_seq1	1	1491	-	1491	42	22	44	59
comp37117_c0	comp37117_c0_seq1	1	687	-	687	12818	9685	12835	14409
comp37123_c0	comp37123_c0_seq1	1	399	-	399	30	4	41	252
comp37136_c0	comp37136_c0_seq1	1	818	-	818	79	36	42	69
comp37140_c0	comp37140_c0_seq2	1	643	-	643	262	18	121	448
comp37163_c0	comp37163_c0_seq2	1	542	-	542	20	6	7	9
comp37164_c0	comp37164_c0_seq1	1	3346	-	3346	4676	6814	4051	9420
comp37164_c1	comp37164_c1_seq1	1	2181	-	2181	1618	1895	1494	1487
comp37168_c0	comp37168_c0_seq1	1	1467	-	1467	58	78	40	58
comp37168_c1	comp37168_c1_seq1	1	1915	-	1915	106	130	91	123
comp37172_c0	comp37172_c0_seq1	1	1203	-	1203	8905	7210	9669	11098
comp37174_c0	comp37174_c0_seq1	1	388	-	388	0	1	2	0
comp37188_c1	comp37188_c1_seq1	1	449	-	449	1	1	6	2
comp37189_c0	comp37189_c0_seq1	1	1288	-	1288	64	82	56	65
comp37191_c0	comp37191_c0_seq1	1	539	-	539	10194	6968	10523	11353
comp37199_c2	comp37199_c2_seq1	1	333	-	333	3	13	5	2
comp37200_c0	comp37200_c0_seq1	1	395	-	395	0	2	3	3
comp37230_c0	comp37230_c0_seq1	1	397	-	397	0	0	0	0
comp37232_c0	comp37232_c0_seq1	1	352	-	352	7	9	0	2
comp37237_c0	comp37237_c0_seq2	1	1078	-	1078	1052	866	1155	883
comp37244_c0	comp37244_c0_seq1	1	377	-	377	0	0	0	0
comp37263_c0	comp37263_c0_seq1	1	1406	-	1406	9	1	71	4
comp37269_c0	comp37269_c0_seq1	1	1934	-	1934	112	91	74	60
comp37269_c1	comp37269_c1_seq1	1	1499	-	1499	56	59	47	44
comp37276_c0	comp37276_c0_seq1	1	708	-	708	72	21	62	6
comp37276_c1	comp37276_c1_seq1	1	382	-	382	28	9	14	1
comp37284_c1	comp37284_c1_seq1	1	1129	-	1129	29	30	37	27
comp37285_c1	comp37285_c1_seq1	1	303	-	303	0	1	0	1
comp37286_c0	comp37286_c0_seq1	1	460	-	460	0	0	0	0
comp37296_c0	comp37296_c0_seq1	1	2453	-	2453	1800	1141	2699	1791
comp37300_c1	comp37300_c1_seq1	1	351	-	351	13	1	11	15
comp37337_c0	comp37337_c0_seq1	1	10834	-	10834	19265	23663	22713	17889
comp37342_c0	comp37342_c0_seq1	1	2076	-	2076	0	0	5	2
comp37348_c0	comp37348_c0_seq1	1	1009	-	1009	20	33	28	18
comp37354_c0	comp37354_c0_seq1	1	1946	-	1946	48	376	118	132
comp37357_c1	comp37357_c1_seq1	1	607	-	607	4	9	13	4
comp37367_c1	comp37367_c1_seq1	1	1171	-	1171	79	115	369	370
comp37371_c0	comp37371_c0_seq1	1	1269	-	1269	18	0	211	63
comp37377_c1	comp37377_c1_seq1	1	764	-	764	20	15	32	25
comp37390_c0	comp37390_c0_seq1	1	636	-	636	4	0	1	3
comp37403_c1	comp37403_c1_seq1	1	1003	-	1003	24	18	39	23
comp37415_c0	comp37415_c0_seq1	1	559	-	559	16	10	37	26
comp37417_c0	comp37417_c0_seq1	1	644	-	644	0	1	2	210
comp37419_c2	comp37419_c2_seq1	1	1543	-	1543	18	0	144	30
comp37427_c0	comp37427_c0_seq1	1	385	-	385	1	1	2	3
comp37431_c1	comp37431_c1_seq1	1	1216	-	1216	461	379	589	1134
comp37446_c1	comp37446_c1_seq2	1	1925	-	1925	41	65	58	37
comp37448_c0	comp37448_c0_seq1	1	579	-	579	16	19	13	27
comp37453_c0	comp37453_c0_seq1	1	962	-	962	773	3142	1470	1319
comp37474_c0	comp37474_c0_seq1	1	1599	-	1599	64	76	75	50
comp37477_c0	comp37477_c0_seq1	1	1588	-	1588	87	94	210	431
comp37479_c0	comp37479_c0_seq1	1	1569	-	1569	28	40	36	31
comp37485_c0	comp37485_c0_seq1	1	4305	-	4305	22	93	1	20
comp37489_c0	comp37489_c0_seq1	1	363	-	363	0	0	0	0
comp37491_c0	comp37491_c0_seq1	1	923	-	923	58	39	23	55
comp37529_c0	comp37529_c0_seq1	1	614	-	614	6	4	4	11
comp37536_c0	comp37536_c0_seq1	1	2763	-	2763	365	601	494	423
comp37553_c0	comp37553_c0_seq1	1	464	-	464	0	0	0	0
comp37563_c0	comp37563_c0_seq2	1	806	-	806	0	0	0	11
comp37572_c0	comp37572_c0_seq1	1	362	-	362	0	0	0	0
comp37578_c0	comp37578_c0_seq1	1	1645	-	1645	227	9	9	12
comp37584_c0	comp37584_c0_seq1	1	1651	-	1651	179	1	61	33
comp37589_c0	comp37589_c0_seq1	1	1305	-	1305	1	1	8	6
comp37595_c1	comp37595_c1_seq1	1	307	-	307	0	1	1	0
comp37604_c0	comp37604_c0_seq1	1	1307	-	1307	23	47	35	35
comp37619_c0	comp37619_c0_seq1	1	750	-	750	958	731	956	1544
comp37695_c0	comp37695_c0_seq1	1	948	-	948	14	13	28	17
comp37698_c0	comp37698_c0_seq1	1	1482	-	1482	145	2	152	38
comp37702_c1	comp37702_c1_seq1	1	2201	-	2201	46	0	228	49
comp37704_c0	comp37704_c0_seq1	1	1179	-	1179	24	0	73	13
comp37707_c0	comp37707_c0_seq1	1	497	-	497	16	9	17	12
comp37709_c0	comp37709_c0_seq1	1	1864	-	1864	138	52	167	261
comp37712_c0	comp37712_c0_seq1	1	382	-	382	0	0	0	0
comp37714_c0	comp37714_c0_seq1	1	1207	-	1207	33	22	49	52
comp37735_c0	comp37735_c0_seq1	1	1744	-	1744	6891	4371	5090	5109
comp37739_c0	comp37739_c0_seq1	1	2073	-	2073	361	202	341	107
comp37766_c0	comp37766_c0_seq2	1	1721	-	1721	30	0	258	9
comp37783_c0	comp37783_c0_seq1	1	371	-	371	4	1	3	4
comp37792_c0	comp37792_c0_seq1	1	743	-	743	0	988	3	0
comp37795_c0	comp37795_c0_seq1	1	4407	-	4407	8941	7653	7510	4350
comp37812_c0	comp37812_c0_seq4	1	1445	-	1445	88	116	108	73
comp37817_c0	comp37817_c0_seq1	1	1157	-	1157	13	5	12	12
comp37817_c1	comp37817_c1_seq1	1	439	-	439	3	2	5	7
comp37825_c0	comp37825_c0_seq1	1	676	-	676	22	0	0	3
comp37827_c0	comp37827_c0_seq1	1	765	-	765	23	130	17	3
comp37827_c1	comp37827_c1_seq1	1	418	-	418	9	34	5	2
comp37830_c0	comp37830_c0_seq1	1	4091	-	4091	409	351	271	250
comp37830_c1	comp37830_c1_seq1	1	1460	-	1460	112	120	84	86
comp37832_c0	comp37832_c0_seq1	1	302	-	302	1	1	1	0
comp37833_c0	comp37833_c0_seq1	1	2455	-	2455	1604	1207	1435	1418
comp37853_c0	comp37853_c0_seq1	1	2942	-	2942	0	3	0	0
comp37855_c0	comp37855_c0_seq1	1	749	-	749	18	13	8	7
comp37861_c0	comp37861_c0_seq1	1	2939	-	2939	96	122	91	78
comp37862_c0	comp37862_c0_seq1	1	1338	-	1338	1256	725	1203	1262
comp37865_c0	comp37865_c0_seq1	1	895	-	895	80	29	49	40
comp37865_c1	comp37865_c1_seq1	1	1064	-	1064	288	42	81	89
comp37866_c0	comp37866_c0_seq1	1	3818	-	3818	351	300	301	229
comp37870_c0	comp37870_c0_seq1	1	617	-	617	382	354	357	669
comp37875_c0	comp37875_c0_seq1	1	672	-	672	12	15	10	15
comp37886_c0	comp37886_c0_seq1	1	608	-	608	3	3	4	4
comp37894_c0	comp37894_c0_seq1	1	520	-	520	1	8	4	4
comp37943_c0	comp37943_c0_seq1	1	498	-	498	0	0	0	0
comp37961_c0	comp37961_c0_seq1	1	1592	-	1592	0	107	101	7
comp37961_c1	comp37961_c1_seq1	1	557	-	557	0	59	49	0
comp37971_c0	comp37971_c0_seq1	1	3220	-	3220	238	227	150	173
comp37975_c0	comp37975_c0_seq1	1	2526	-	2526	11459	10156	14570	20335
comp37976_c0	comp37976_c0_seq1	1	452	-	452	0	4	0	0
comp37979_c0	comp37979_c0_seq1	1	1901	-	1901	611	8	9	4081
comp37986_c0	comp37986_c0_seq1	1	1122	-	1122	0	0	0	0
comp38008_c0	comp38008_c0_seq1	1	706	-	706	0	0	1063	44
comp38008_c1	comp38008_c1_seq1	1	2079	-	2079	10558	1740	11205	20062
comp38014_c1	comp38014_c1_seq1	1	348	-	348	0	0	0	0
comp38016_c0	comp38016_c0_seq1	1	2104	-	2104	55	14	60	70
comp38041_c0	comp38041_c0_seq1	1	2124	-	2124	2600	3398	3018	4418
comp38044_c1	comp38044_c1_seq1	1	1200	-	1200	26	48	23	15
comp38052_c0	comp38052_c0_seq1	1	844	-	844	7	3	30	4
comp38052_c1	comp38052_c1_seq1	1	1264	-	1264	14	2	56	6
comp38064_c0	comp38064_c0_seq1	1	1524	-	1524	40	30	50	39
comp38067_c0	comp38067_c0_seq1	1	3251	-	3251	3202	3116	3846	4552
comp38068_c0	comp38068_c0_seq1	1	2252	-	2252	823	1662	1372	892
comp38072_c0	comp38072_c0_seq1	1	320	-	320	29	17	30	9
comp38076_c0	comp38076_c0_seq1	1	1847	-	1847	65	59	37	36
comp38089_c0	comp38089_c0_seq1	1	370	-	370	8	5	3	2
comp38114_c0	comp38114_c0_seq1	1	395	-	395	0	0	0	2
comp38118_c0	comp38118_c0_seq1	1	740	-	740	0	1	6	3
comp38122_c0	comp38122_c0_seq1	1	310	-	310	4	1	3	1
comp38132_c0	comp38132_c0_seq1	1	1769	-	1769	67	56	73	68
comp38133_c1	comp38133_c1_seq1	1	1222	-	1222	36	15	83	4
comp38143_c0	comp38143_c0_seq1	1	1030	-	1030	5	117	201	2
comp38145_c0	comp38145_c0_seq1	1	2152	-	2152	453	138	138	220
comp38166_c0	comp38166_c0_seq1	1	368	-	368	40	22	17	31
comp38167_c0	comp38167_c0_seq1	1	1175	-	1175	26	1	494	4
comp38167_c1	comp38167_c1_seq1	1	1569	-	1569	34	1	575	6
comp38169_c0	comp38169_c0_seq1	1	571	-	571	0	0	0	0
comp38171_c0	comp38171_c0_seq1	1	1044	-	1044	0	7	31	17
comp38171_c1	comp38171_c1_seq1	1	746	-	746	4	19	41	35
comp38172_c0	comp38172_c0_seq1	1	778	-	778	10	6	8	16
comp38178_c0	comp38178_c0_seq1	1	377	-	377	1	0	1	3
comp38179_c0	comp38179_c0_seq1	1	1032	-	1032	540	551	598	579
comp38182_c0	comp38182_c0_seq1	1	1144	-	1144	81	23	69	137
comp38189_c0	comp38189_c0_seq1	1	1380	-	1380	97	366	78	80
comp38189_c1	comp38189_c1_seq1	1	2427	-	2427	100	375	65	61
comp38193_c0	comp38193_c0_seq1	1	598	-	598	11	9	9	12
comp38218_c0	comp38218_c0_seq1	1	514	-	514	0	0	0	0
comp38218_c1	comp38218_c1_seq1	1	1534	-	1534	0	0	0	0
comp38221_c0	comp38221_c0_seq1	1	1541	-	1541	112	172	63	72
comp38231_c0	comp38231_c0_seq1	1	715	-	715	7	0	0	0
comp38246_c0	comp38246_c0_seq1	1	764	-	764	614	551	702	1043
comp38247_c0	comp38247_c0_seq1	1	423	-	423	1	0	1	0
comp38261_c0	comp38261_c0_seq1	1	878	-	878	12	25	15	11
comp38272_c0	comp38272_c0_seq1	1	357	-	357	1	2	7	10
comp38276_c0	comp38276_c0_seq2	1	1223	-	1223	17	17	13	9
comp38279_c0	comp38279_c0_seq1	1	1964	-	1964	2175	1201	1826	2038
comp38284_c1	comp38284_c1_seq1	1	806	-	806	218	0	52	41
comp38285_c0	comp38285_c0_seq1	1	897	-	897	87	39	135	19
comp38291_c1	comp38291_c1_seq1	1	1713	-	1713	0	22	2	2
comp38292_c0	comp38292_c0_seq1	1	571	-	571	0	0	0	0
comp38292_c1	comp38292_c1_seq1	1	1138	-	1138	0	0	2	0
comp38297_c0	comp38297_c0_seq1	1	1260	-	1260	3606	1033	2571	2617
comp38314_c0	comp38314_c0_seq1	1	2196	-	2196	1033	1168	1526	2690
comp38318_c0	comp38318_c0_seq1	1	501	-	501	12	10	2	5
comp38322_c0	comp38322_c0_seq1	1	2345	-	2345	42	0	445	43
comp38324_c0	comp38324_c0_seq1	1	2619	-	2619	12	1372	36	4
comp38342_c0	comp38342_c0_seq1	1	1283	-	1283	39	32	21	31
comp38342_c1	comp38342_c1_seq1	1	1532	-	1532	33	42	28	45
comp38348_c0	comp38348_c0_seq1	1	1090	-	1090	25	49	111	58
comp38355_c0	comp38355_c0_seq1	1	8008	-	8008	31856	4502	42598	106441
comp38361_c0	comp38361_c0_seq2	1	1419	-	1419	4	15	34	68
comp38366_c0	comp38366_c0_seq1	1	439	-	439	0	0	0	0
comp38390_c0	comp38390_c0_seq1	1	609	-	609	0	0	0	0
comp38406_c0	comp38406_c0_seq1	1	2952	-	2952	104	133	89	105
comp38426_c0	comp38426_c0_seq1	1	796	-	796	0	19	0	2
comp38446_c0	comp38446_c0_seq1	1	1421	-	1421	41	52	56	55
comp38447_c0	comp38447_c0_seq1	1	801	-	801	38	20	21	96
comp38447_c1	comp38447_c1_seq1	1	1377	-	1377	49	33	38	121
comp38451_c0	comp38451_c0_seq1	1	321	-	321	0	0	0	0
comp38459_c0	comp38459_c0_seq1	1	2280	-	2280	122	328	486	235
comp38461_c1	comp38461_c1_seq1	1	782	-	782	10	17	25	17
comp38462_c0	comp38462_c0_seq1	1	1237	-	1237	35	48	77	34
comp38463_c0	comp38463_c0_seq1	1	1615	-	1615	108	52	39	45
comp38478_c0	comp38478_c0_seq1	1	406	-	406	0	0	0	0
comp38492_c0	comp38492_c0_seq1	1	1217	-	1217	1543	1878	1826	2090
comp38511_c0	comp38511_c0_seq1	1	346	-	346	0	0	0	0
comp38511_c1	comp38511_c1_seq1	1	402	-	402	0	0	2	1
comp38515_c0	comp38515_c0_seq1	1	1132	-	1132	7	14	74	85
comp38515_c1	comp38515_c1_seq1	1	849	-	849	4	0	64	59
comp38522_c0	comp38522_c0_seq1	1	1961	-	1961	4573	3887	5633	5516
comp38527_c1	comp38527_c1_seq1	1	1026	-	1026	19	0	51	17
comp38535_c0	comp38535_c0_seq1	1	2822	-	2822	291	138	288	362
comp38546_c0	comp38546_c0_seq1	1	527	-	527	0	3	3	3
comp38551_c0	comp38551_c0_seq1	1	3726	-	3726	153	135	109	137
comp38552_c1	comp38552_c1_seq1	1	798	-	798	0	1	0	0
comp38561_c1	comp38561_c1_seq1	1	1615	-	1615	296	317	395	403
comp38567_c0	comp38567_c0_seq1	1	1173	-	1173	0	40	14	1
comp38572_c0	comp38572_c0_seq1	1	1438	-	1438	128	271	55	28
comp38572_c1	comp38572_c1_seq1	1	716	-	716	85	229	31	10
comp38578_c0	comp38578_c0_seq1	1	857	-	857	793	1065	855	1186
comp38580_c0	comp38580_c0_seq1	1	1273	-	1273	6161	1660	5033	9787
comp38583_c0	comp38583_c0_seq1	1	315	-	315	1	1	2	0
comp38586_c0	comp38586_c0_seq1	1	1687	-	1687	442	261	590	527
comp38586_c1	comp38586_c1_seq1	1	1044	-	1044	15	18	24	15
comp38590_c0	comp38590_c0_seq1	1	2142	-	2142	1973	1696	1837	2425
comp38604_c0	comp38604_c0_seq1	1	6800	-	6800	141	6	787	171
comp38621_c0	comp38621_c0_seq1	1	3216	-	3216	34	167	63	42
comp38641_c1	comp38641_c1_seq1	1	2822	-	2822	2588	1313	3340	4799
comp38655_c0	comp38655_c0_seq2	1	3276	-	3276	90	20	435	86
comp38660_c0	comp38660_c0_seq1	1	360	-	360	4	1	1	4
comp38669_c0	comp38669_c0_seq2	1	1705	-	1705	0	17	6	4
comp38679_c0	comp38679_c0_seq1	1	2604	-	2604	5	755	34	63
comp38682_c0	comp38682_c0_seq1	1	1878	-	1878	12159	19005	20045	22542
comp38684_c0	comp38684_c0_seq1	1	458	-	458	0	0	2	0
comp38691_c0	comp38691_c0_seq1	1	1216	-	1216	944	1	15	62
comp38696_c0	comp38696_c0_seq1	1	1062	-	1062	38	0	75	2
comp38725_c0	comp38725_c0_seq1	1	11925	-	11925	23871	1321	9645	28175
comp38727_c0	comp38727_c0_seq1	1	1659	-	1659	1579	1369	1896	2252
comp38736_c0	comp38736_c0_seq1	1	1654	-	1654	1271	1286	2168	2171
comp38748_c0	comp38748_c0_seq2	1	1946	-	1946	141	132	100	101
comp38751_c0	comp38751_c0_seq1	1	400	-	400	1	0	0	0
comp38755_c0	comp38755_c0_seq1	1	660	-	660	3	6	0	2
comp38760_c0	comp38760_c0_seq1	1	520	-	520	4	3	1	6
comp38779_c0	comp38779_c0_seq2	1	415	-	415	0	0	0	0
comp38786_c0	comp38786_c0_seq3	1	3023	-	3023	3	15	861	2796
comp38788_c0	comp38788_c0_seq3	1	1979	-	1979	348	462	377	363
comp38790_c0	comp38790_c0_seq1	1	3753	-	3753	875	269	761	179
comp38798_c0	comp38798_c0_seq1	1	1136	-	1136	987	576	1105	1479
comp38801_c0	comp38801_c0_seq1	1	731	-	731	29	9	26	59
comp38820_c0	comp38820_c0_seq1	1	2995	-	2995	30	83	101	24
comp38820_c1	comp38820_c1_seq1	1	1234	-	1234	3	22	28	7
comp38827_c0	comp38827_c0_seq2	1	524	-	524	5	59	15	24
comp38832_c0	comp38832_c0_seq1	1	519	-	519	0	0	0	3
comp38838_c0	comp38838_c0_seq3	1	2151	-	2151	180	118	132	72
comp38841_c1	comp38841_c1_seq1	1	665	-	665	8	12	15	16
comp38845_c0	comp38845_c0_seq1	1	948	-	948	24	25	13	38
comp38853_c0	comp38853_c0_seq1	1	1262	-	1262	2605	1984	3701	4773
comp38855_c0	comp38855_c0_seq1	1	2275	-	2275	1188	1050	1546	1456
comp38872_c0	comp38872_c0_seq1	1	1262	-	1262	877	768	1008	1176
