# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-a" "results/reference/Trinity_20210112_longestORFperGene.fasta.eggnog.gtf" "-o" "results/counts/counts_matrix.txt" "-t" "exon" "-g" "gene_id" "-G" "results/reference/Trinity_20210112_longestORFperGene.fasta" "-T" "20" "results/star/mapping/SA01/Aligned.out.sam" "results/star/mapping/SA02/Aligned.out.sam" "results/star/mapping/SA03/Aligned.out.sam" "results/star/mapping/SA04/Aligned.out.sam" "results/star/mapping/SA05/Aligned.out.sam" "results/star/mapping/SA06/Aligned.out.sam" 
Geneid	Chr	Start	End	Strand	Length	results/star/mapping/SA01/Aligned.out.sam	results/star/mapping/SA02/Aligned.out.sam	results/star/mapping/SA03/Aligned.out.sam	results/star/mapping/SA04/Aligned.out.sam	results/star/mapping/SA05/Aligned.out.sam	results/star/mapping/SA06/Aligned.out.sam
TRINITY_DN2042_c0_g1	TRINITY_DN2042_c0_g1_i3	1	4145	-	4145	1144	755	2152	619	394	954
TRINITY_DN2040_c0_g1	TRINITY_DN2040_c0_g1_i1	1	1050	-	1050	383	796	2173	432	575	1641
TRINITY_DN2040_c0_g2	TRINITY_DN2040_c0_g2_i1	1	1129	-	1129	587	1265	3103	392	431	1595
TRINITY_DN2041_c0_g1	TRINITY_DN2041_c0_g1_i4	1	8468	-	8468	1563	1251	1662	1422	840	1155
TRINITY_DN2041_c1_g1	TRINITY_DN2041_c1_g1_i1	1	1310	-	1310	536	560	509	326	164	130
TRINITY_DN2041_c1_g3	TRINITY_DN2041_c1_g3_i1	1	2419	-	2419	0	392	183	14	262	68
TRINITY_DN2036_c0_g1	TRINITY_DN2036_c0_g1_i1	1	862	-	862	0	3	155	0	1	41
TRINITY_DN2015_c0_g1	TRINITY_DN2015_c0_g1_i3	1	1965	-	1965	12	6044	602	148	3425	425
TRINITY_DN2015_c0_g3	TRINITY_DN2015_c0_g3_i9	1	5851	-	5851	2223	2988	7362	1297	1789	4749
TRINITY_DN2019_c0_g1	TRINITY_DN2019_c0_g1_i4	1	3820	-	3820	697	625	1109	470	289	1034
TRINITY_DN2073_c0_g1	TRINITY_DN2073_c0_g1_i3	1	2012	-	2012	5890	1813	1614	3429	567	583
TRINITY_DN2073_c3_g1	TRINITY_DN2073_c3_g1_i1	1	372	-	372	3	3	1	13	1	2
TRINITY_DN2066_c0_g1	TRINITY_DN2066_c0_g1_i2	1	3943	-	3943	5672	1744	1545	5780	661	699
TRINITY_DN2068_c0_g1	TRINITY_DN2068_c0_g1_i21	1	6163	-	6163	6692	1260	452	7159	838	259
TRINITY_DN2092_c0_g1	TRINITY_DN2092_c0_g1_i2	1	1221	-	1221	287	285	683	527	498	972
TRINITY_DN2060_c0_g1	TRINITY_DN2060_c0_g1_i5	1	2072	-	2072	411	1081	184	494	1023	199
TRINITY_DN2002_c0_g1	TRINITY_DN2002_c0_g1_i3	1	1477	-	1477	776	1262	2045	1556	2496	3551
TRINITY_DN2011_c0_g1	TRINITY_DN2011_c0_g1_i3	1	1380	-	1380	6822	6393	2315	4149	1555	642
TRINITY_DN2071_c0_g1	TRINITY_DN2071_c0_g1_i2	1	1793	-	1793	307	381	475	405	294	537
TRINITY_DN2029_c0_g1	TRINITY_DN2029_c0_g1_i4	1	5840	-	5840	3298	3378	9908	3604	3367	8709
TRINITY_DN2034_c0_g1	TRINITY_DN2034_c0_g1_i1	1	680	-	680	51	52	343	114	66	246
TRINITY_DN2034_c0_g2	TRINITY_DN2034_c0_g2_i1	1	672	-	672	27	42	159	64	46	118
TRINITY_DN2034_c0_g3	TRINITY_DN2034_c0_g3_i1	1	685	-	685	173	156	411	290	272	532
TRINITY_DN2034_c1_g1	TRINITY_DN2034_c1_g1_i2	1	1765	-	1765	112	153	329	180	109	267
TRINITY_DN2034_c1_g2	TRINITY_DN2034_c1_g2_i1	1	485	-	485	25	36	47	16	18	20
TRINITY_DN2093_c0_g1	TRINITY_DN2093_c0_g1_i4	1	1194	-	1194	400	535	1380	810	575	875
TRINITY_DN2005_c0_g1	TRINITY_DN2005_c0_g1_i1	1	2379	-	2379	407	65	237	156	38	130
TRINITY_DN2001_c0_g1	TRINITY_DN2001_c0_g1_i8	1	2502	-	2502	755	1155	1292	1111	752	1047
TRINITY_DN2001_c1_g1	TRINITY_DN2001_c1_g1_i1	1	1621	-	1621	95	146	91	15	4	5
TRINITY_DN2098_c0_g1	TRINITY_DN2098_c0_g1_i3	1	1816	-	1816	1440	1604	3456	1649	844	1428
TRINITY_DN2038_c0_g1	TRINITY_DN2038_c0_g1_i1	1	4042	-	4042	1445	1410	2750	1176	1418	2184
TRINITY_DN2038_c0_g3	TRINITY_DN2038_c0_g3_i6	1	3711	-	3711	1998	1589	4068	1204	737	1589
TRINITY_DN2089_c0_g1	TRINITY_DN2089_c0_g1_i6	1	1796	-	1796	1000	43	124	516	19	59
TRINITY_DN2089_c1_g1	TRINITY_DN2089_c1_g1_i9	1	5630	-	5630	17926	32200	39398	7251	18989	17225
TRINITY_DN2089_c1_g2	TRINITY_DN2089_c1_g2_i5	1	948	-	948	7	400	27	81	737	46
TRINITY_DN2089_c2_g2	TRINITY_DN2089_c2_g2_i1	1	1729	-	1729	1066	305	256	966	337	99
TRINITY_DN2031_c0_g1	TRINITY_DN2031_c0_g1_i6	1	1706	-	1706	5	2051	451	67	1416	655
TRINITY_DN2031_c0_g2	TRINITY_DN2031_c0_g2_i4	1	6255	-	6255	287	1805	568	421	926	281
TRINITY_DN2031_c1_g1	TRINITY_DN2031_c1_g1_i2	1	8597	-	8597	1609	1351	2141	1555	728	1475
TRINITY_DN2031_c2_g1	TRINITY_DN2031_c2_g1_i1	1	2019	-	2019	3	0	243	5	2	4
TRINITY_DN2031_c4_g1	TRINITY_DN2031_c4_g1_i1	1	965	-	965	1	8	15	0	7	69
TRINITY_DN2099_c0_g1	TRINITY_DN2099_c0_g1_i5	1	3800	-	3800	1566	1315	1363	884	332	634
TRINITY_DN2056_c0_g1	TRINITY_DN2056_c0_g1_i1	1	866	-	866	2763	3545	7656	3198	4911	7587
TRINITY_DN2049_c0_g1	TRINITY_DN2049_c0_g1_i2	1	5965	-	5965	1996	3211	4366	1729	2381	3662
TRINITY_DN2057_c0_g1	TRINITY_DN2057_c0_g1_i2	1	2957	-	2957	4087	2812	4030	1617	1597	2673
TRINITY_DN2020_c0_g1	TRINITY_DN2020_c0_g1_i3	1	4564	-	4564	1283	1738	4528	986	807	3315
TRINITY_DN2023_c0_g1	TRINITY_DN2023_c0_g1_i1	1	2231	-	2231	2184	600	591	815	140	217
TRINITY_DN2003_c0_g1	TRINITY_DN2003_c0_g1_i4	1	1112	-	1112	626	442	574	327	217	520
TRINITY_DN2087_c0_g1	TRINITY_DN2087_c0_g1_i1	1	1602	-	1602	0	0	554	0	0	427
TRINITY_DN2087_c0_g2	TRINITY_DN2087_c0_g2_i2	1	1845	-	1845	0	1	839	0	0	699
TRINITY_DN2087_c1_g1	TRINITY_DN2087_c1_g1_i30	1	2739	-	2739	1168	1141	2535	1012	714	1809
TRINITY_DN2087_c2_g1	TRINITY_DN2087_c2_g1_i2	1	4202	-	4202	1396	1426	2946	1355	1374	2488
TRINITY_DN2087_c4_g1	TRINITY_DN2087_c4_g1_i1	1	635	-	635	16	23	15	42	16	28
TRINITY_DN2028_c0_g1	TRINITY_DN2028_c0_g1_i3	1	5864	-	5864	1184	1970	4260	1834	2245	5320
TRINITY_DN2194_c0_g1	TRINITY_DN2194_c0_g1_i4	1	1102	-	1102	929	2244	1385	2812	8460	2602
TRINITY_DN2164_c0_g2	TRINITY_DN2164_c0_g2_i7	1	5490	-	5490	5157	6328	9381	7628	10334	11360
TRINITY_DN2104_c0_g1	TRINITY_DN2104_c0_g1_i5	1	1090	-	1090	149	685	260	68	68	29
TRINITY_DN2156_c0_g1	TRINITY_DN2156_c0_g1_i5	1	4528	-	4528	6055	2630	1986	2258	861	1069
TRINITY_DN2156_c2_g2	TRINITY_DN2156_c2_g2_i8	1	1516	-	1516	85	49	81	65	15	54
TRINITY_DN2156_c2_g1	TRINITY_DN2156_c2_g1_i2	1	1836	-	1836	60	77	387	28	41	173
TRINITY_DN2116_c0_g1	TRINITY_DN2116_c0_g1_i3	1	2866	-	2866	4966	229	2522	3968	47	875
TRINITY_DN2119_c0_g1	TRINITY_DN2119_c0_g1_i3	1	2110	-	2110	6335	1940	1712	6356	1380	662
TRINITY_DN2119_c1_g1	TRINITY_DN2119_c1_g1_i1	1	1309	-	1309	1764	216	22	1784	176	7
TRINITY_DN2119_c1_g2	TRINITY_DN2119_c1_g2_i3	1	2435	-	2435	925	954	782	236	150	261
TRINITY_DN2113_c0_g1	TRINITY_DN2113_c0_g1_i7	1	2678	-	2678	5228	922	425	455	74	66
TRINITY_DN2113_c0_g4	TRINITY_DN2113_c0_g4_i1	1	1373	-	1373	76	12	2	8	2	0
TRINITY_DN2124_c0_g2	TRINITY_DN2124_c0_g2_i1	1	1710	-	1710	293	296	628	259	284	411
TRINITY_DN2145_c0_g1	TRINITY_DN2145_c0_g1_i1	1	1917	-	1917	496	495	855	551	487	923
TRINITY_DN2178_c0_g1	TRINITY_DN2178_c0_g1_i4	1	1520	-	1520	926	32	1	303	1	0
TRINITY_DN2155_c0_g1	TRINITY_DN2155_c0_g1_i1	1	5069	-	5069	149399	24684	15260	6361	920	5332
TRINITY_DN2155_c0_g2	TRINITY_DN2155_c0_g2_i5	1	3634	-	3634	746	316	433	1082	83	215
TRINITY_DN2101_c0_g1	TRINITY_DN2101_c0_g1_i6	1	2368	-	2368	403	374	663	224	189	435
TRINITY_DN2181_c0_g1	TRINITY_DN2181_c0_g1_i1	1	8582	-	8582	1858	1692	2626	1243	668	1038
TRINITY_DN2168_c0_g1	TRINITY_DN2168_c0_g1_i4	1	2263	-	2263	762	886	763	914	438	729
TRINITY_DN2141_c0_g1	TRINITY_DN2141_c0_g1_i2	1	1792	-	1792	325	300	611	442	425	384
TRINITY_DN2182_c0_g1	TRINITY_DN2182_c0_g1_i4	1	1119	-	1119	0	775	69	127	2398	152
TRINITY_DN2134_c0_g1	TRINITY_DN2134_c0_g1_i1	1	1791	-	1791	127	226	33	374	225	30
TRINITY_DN2134_c0_g2	TRINITY_DN2134_c0_g2_i1	1	2509	-	2509	709	748	40	1060	255	21
TRINITY_DN2134_c0_g3	TRINITY_DN2134_c0_g3_i1	1	431	-	431	23	28	2	15	3	0
TRINITY_DN2197_c0_g1	TRINITY_DN2197_c0_g1_i17	1	2392	-	2392	1169	755	716	1549	731	868
TRINITY_DN2114_c0_g1	TRINITY_DN2114_c0_g1_i2	1	2984	-	2984	3768	347	207	2224	74	126
TRINITY_DN2174_c0_g1	TRINITY_DN2174_c0_g1_i1	1	1274	-	1274	7	4	4914	0	0	5275
TRINITY_DN2118_c0_g1	TRINITY_DN2118_c0_g1_i2	1	1645	-	1645	2482	2650	4752	2110	3748	3293
TRINITY_DN2198_c0_g1	TRINITY_DN2198_c0_g1_i3	1	1446	-	1446	5	1134	1	39	610	1
TRINITY_DN2198_c1_g1	TRINITY_DN2198_c1_g1_i10	1	3773	-	3773	1207	649	80	1627	648	64
TRINITY_DN2108_c0_g1	TRINITY_DN2108_c0_g1_i6	1	4141	-	4141	1518	864	1078	734	335	527
TRINITY_DN2175_c0_g1	TRINITY_DN2175_c0_g1_i1	1	740	-	740	31248	43246	62350	48067	71738	67991
TRINITY_DN2170_c0_g2	TRINITY_DN2170_c0_g2_i1	1	1292	-	1292	1069	372	550	583	111	236
TRINITY_DN2184_c0_g1	TRINITY_DN2184_c0_g1_i1	1	2131	-	2131	208	184	779	192	171	705
TRINITY_DN2138_c0_g1	TRINITY_DN2138_c0_g1_i2	1	1149	-	1149	1090	987	1388	1239	1061	1256
TRINITY_DN2154_c0_g1	TRINITY_DN2154_c0_g1_i3	1	2144	-	2144	289	509	613	90	254	520
TRINITY_DN2143_c0_g1	TRINITY_DN2143_c0_g1_i4	1	5107	-	5107	1010	1425	3679	1209	1470	2964
TRINITY_DN2126_c0_g1	TRINITY_DN2126_c0_g1_i3	1	1831	-	1831	671	748	1202	882	807	888
TRINITY_DN2112_c0_g1	TRINITY_DN2112_c0_g1_i11	1	3965	-	3965	3111	245	132	4309	189	91
TRINITY_DN2173_c0_g1	TRINITY_DN2173_c0_g1_i1	1	1782	-	1782	5675	211	88	4648	51	146
TRINITY_DN2173_c2_g1	TRINITY_DN2173_c2_g1_i2	1	1663	-	1663	17	152	76	39	40	97
TRINITY_DN2120_c0_g1	TRINITY_DN2120_c0_g1_i4	1	3711	-	3711	1374	2167	5438	1750	2948	4607
TRINITY_DN2188_c0_g1	TRINITY_DN2188_c0_g1_i5	1	8309	-	8309	1845	2933	6884	2386	5076	9524
TRINITY_DN2130_c0_g1	TRINITY_DN2130_c0_g1_i1	1	2229	-	2229	1376	1084	1349	1525	972	1222
TRINITY_DN2125_c0_g1	TRINITY_DN2125_c0_g1_i3	1	2204	-	2204	1292	1068	1269	686	562	885
TRINITY_DN2186_c0_g1	TRINITY_DN2186_c0_g1_i3	1	2135	-	2135	898	1894	5150	1387	2626	4736
TRINITY_DN2115_c0_g1	TRINITY_DN2115_c0_g1_i5	1	3437	-	3437	4091	3140	2102	3430	3083	1615
TRINITY_DN2115_c0_g2	TRINITY_DN2115_c0_g2_i4	1	1001	-	1001	7	192	22	2	82	6
TRINITY_DN2157_c0_g1	TRINITY_DN2157_c0_g1_i1	1	2529	-	2529	231	180	196	484	328	365
TRINITY_DN2102_c0_g1	TRINITY_DN2102_c0_g1_i1	1	3149	-	3149	749	463	452	400	203	180
TRINITY_DN2153_c0_g1	TRINITY_DN2153_c0_g1_i4	1	7774	-	7774	10156	8053	8767	8234	3255	4764
TRINITY_DN2171_c0_g1	TRINITY_DN2171_c0_g1_i2	1	2577	-	2577	1195	1068	1030	1002	948	866
TRINITY_DN2106_c0_g1	TRINITY_DN2106_c0_g1_i7	1	3174	-	3174	11357	1296	151	6737	270	77
TRINITY_DN2106_c1_g1	TRINITY_DN2106_c1_g1_i2	1	1539	-	1539	87	44	309	61	25	215
TRINITY_DN2177_c0_g1	TRINITY_DN2177_c0_g1_i6	1	1687	-	1687	761	880	1670	1491	1665	2919
TRINITY_DN2190_c0_g1	TRINITY_DN2190_c0_g1_i3	1	2685	-	2685	797	1477	486	1283	2226	466
TRINITY_DN2190_c0_g2	TRINITY_DN2190_c0_g2_i1	1	2005	-	2005	409	318	507	232	152	251
TRINITY_DN2190_c1_g1	TRINITY_DN2190_c1_g1_i3	1	2626	-	2626	627	632	947	356	312	501
TRINITY_DN2179_c0_g1	TRINITY_DN2179_c0_g1_i6	1	1464	-	1464	122	105	180	109	50	150
TRINITY_DN2179_c1_g1	TRINITY_DN2179_c1_g1_i6	1	1631	-	1631	1032	836	1675	832	598	1060
TRINITY_DN2179_c1_g2	TRINITY_DN2179_c1_g2_i1	1	1044	-	1044	82	77	120	48	19	38
TRINITY_DN2121_c0_g1	TRINITY_DN2121_c0_g1_i8	1	3616	-	3616	2147	2473	5142	1489	1904	2114
TRINITY_DN2127_c0_g1	TRINITY_DN2127_c0_g1_i2	1	2748	-	2748	2500	3698	10427	3318	3577	7479
TRINITY_DN2109_c0_g1	TRINITY_DN2109_c0_g1_i11	1	2653	-	2653	849	806	1450	678	745	1478
TRINITY_DN2150_c0_g1	TRINITY_DN2150_c0_g1_i9	1	1979	-	1979	1118	962	1881	538	411	876
TRINITY_DN2150_c1_g1	TRINITY_DN2150_c1_g1_i3	1	1386	-	1386	170	93	101	140	71	64
TRINITY_DN2161_c0_g1	TRINITY_DN2161_c0_g1_i1	1	1073	-	1073	3340	5073	4074	1661	431	506
TRINITY_DN2142_c0_g1	TRINITY_DN2142_c0_g1_i1	1	3353	-	3353	828	644	591	3945	1176	1923
TRINITY_DN2142_c2_g1	TRINITY_DN2142_c2_g1_i6	1	4788	-	4788	559	661	715	395	295	430
TRINITY_DN2142_c2_g2	TRINITY_DN2142_c2_g2_i1	1	1415	-	1415	84	0	2	195	10	0
TRINITY_DN2142_c4_g1	TRINITY_DN2142_c4_g1_i2	1	905	-	905	16	20	11	26	50	12
TRINITY_DN2176_c0_g1	TRINITY_DN2176_c0_g1_i12	1	1385	-	1385	2171	1563	2196	49	80	160
TRINITY_DN2136_c0_g1	TRINITY_DN2136_c0_g1_i1	1	3466	-	3466	2557	1330	1793	1870	356	667
TRINITY_DN2137_c0_g1	TRINITY_DN2137_c0_g1_i6	1	4395	-	4395	93	66	231	104	24	189
TRINITY_DN2137_c0_g2	TRINITY_DN2137_c0_g2_i2	1	1348	-	1348	203	785	1846	10	159	284
TRINITY_DN2111_c0_g1	TRINITY_DN2111_c0_g1_i4	1	1253	-	1253	880	376	1107	933	251	703
TRINITY_DN2148_c0_g1	TRINITY_DN2148_c0_g1_i5	1	2663	-	2663	1098	1283	2858	692	785	1555
TRINITY_DN2160_c0_g1	TRINITY_DN2160_c0_g1_i5	1	4262	-	4262	921	630	944	594	208	591
TRINITY_DN2105_c0_g1	TRINITY_DN2105_c0_g1_i2	1	3380	-	3380	1263	2059	6393	965	2366	19632
TRINITY_DN2199_c0_g1	TRINITY_DN2199_c0_g1_i1	1	4966	-	4966	436	583	565	203	175	409
TRINITY_DN2132_c0_g1	TRINITY_DN2132_c0_g1_i3	1	2787	-	2787	603	733	1092	1156	1018	1312
TRINITY_DN2162_c0_g1	TRINITY_DN2162_c0_g1_i3	1	3374	-	3374	1657	1271	989	1247	465	442
TRINITY_DN2123_c0_g1	TRINITY_DN2123_c0_g1_i3	1	7767	-	7767	1203	1570	2196	1108	1154	2668
TRINITY_DN2135_c0_g1	TRINITY_DN2135_c0_g1_i1	1	1208	-	1208	146	196	195	606	144	263
TRINITY_DN2135_c1_g1	TRINITY_DN2135_c1_g1_i3	1	1987	-	1987	1582	803	1135	1216	976	1196
TRINITY_DN2135_c1_g2	TRINITY_DN2135_c1_g2_i1	1	711	-	711	147	192	150	219	48	191
TRINITY_DN2166_c0_g1	TRINITY_DN2166_c0_g1_i1	1	885	-	885	383	301	194	240	65	25
TRINITY_DN2166_c0_g2	TRINITY_DN2166_c0_g2_i1	1	1275	-	1275	385	323	172	378	132	60
TRINITY_DN2166_c1_g2	TRINITY_DN2166_c1_g2_i1	1	1444	-	1444	1141	1188	1190	641	786	721
TRINITY_DN2140_c0_g1	TRINITY_DN2140_c0_g1_i1	1	778	-	778	76	96	224	286	250	406
TRINITY_DN2103_c0_g1	TRINITY_DN2103_c0_g1_i1	1	1351	-	1351	2007	2579	2954	1380	1219	747
TRINITY_DN2189_c0_g1	TRINITY_DN2189_c0_g1_i2	1	2203	-	2203	421	572	972	985	945	1944
TRINITY_DN2146_c0_g1	TRINITY_DN2146_c0_g1_i1	1	1125	-	1125	568	103	631	755	65	222
TRINITY_DN2172_c0_g1	TRINITY_DN2172_c0_g1_i7	1	4737	-	4737	7237	17189	4896	4558	9955	2506
TRINITY_DN2122_c0_g1	TRINITY_DN2122_c0_g1_i2	1	2396	-	2396	1459	2588	1612	2456	2478	1945
TRINITY_DN2195_c0_g1	TRINITY_DN2195_c0_g1_i8	1	5973	-	5973	3033	1260	867	2407	481	720
TRINITY_DN2193_c0_g1	TRINITY_DN2193_c0_g1_i4	1	3111	-	3111	1028	1614	6687	1366	2108	4889
TRINITY_DN2128_c0_g1	TRINITY_DN2128_c0_g1_i8	1	1472	-	1472	75	28	92	165	47	78
TRINITY_DN2128_c0_g2	TRINITY_DN2128_c0_g2_i4	1	2040	-	2040	787	429	790	2599	1303	1523
TRINITY_DN2128_c1_g1	TRINITY_DN2128_c1_g1_i2	1	1161	-	1161	62	2479	272	243	2799	343
TRINITY_DN2128_c3_g1	TRINITY_DN2128_c3_g1_i1	1	9092	-	9092	1282	875	1017	1731	854	722
TRINITY_DN2152_c0_g1	TRINITY_DN2152_c0_g1_i4	1	750	-	750	7	4	22934	0	1	4691
TRINITY_DN2183_c0_g1	TRINITY_DN2183_c0_g1_i2	1	625	-	625	222	401	931	334	726	1013
TRINITY_DN2129_c0_g1	TRINITY_DN2129_c0_g1_i4	1	3019	-	3019	1096	796	1173	656	295	626
TRINITY_DN2169_c0_g1	TRINITY_DN2169_c0_g1_i4	1	2592	-	2592	404	2970	1652	1011	6045	1957
TRINITY_DN2144_c0_g1	TRINITY_DN2144_c0_g1_i2	1	3075	-	3075	1257	1997	4919	1388	2372	4303
TRINITY_DN2187_c0_g1	TRINITY_DN2187_c0_g1_i1	1	1737	-	1737	1227	1275	2396	1854	1378	2146
TRINITY_DN2187_c0_g2	TRINITY_DN2187_c0_g2_i4	1	1877	-	1877	21197	2082	2561	3961	207	486
TRINITY_DN2187_c1_g1	TRINITY_DN2187_c1_g1_i1	1	1463	-	1463	322	335	565	283	277	320
TRINITY_DN2196_c0_g1	TRINITY_DN2196_c0_g1_i5	1	3704	-	3704	542	523	1011	542	510	1227
TRINITY_DN2107_c0_g1	TRINITY_DN2107_c0_g1_i2	1	2366	-	2366	422	419	953	150	139	479
TRINITY_DN2147_c0_g2	TRINITY_DN2147_c0_g2_i2	1	2459	-	2459	2639	952	592	5223	1821	732
TRINITY_DN2147_c1_g1	TRINITY_DN2147_c1_g1_i14	1	1773	-	1773	143	176	104	115	60	50
TRINITY_DN2147_c3_g1	TRINITY_DN2147_c3_g1_i4	1	3778	-	3778	163	113	166	100	86	81
TRINITY_DN2167_c0_g1	TRINITY_DN2167_c0_g1_i6	1	2896	-	2896	1652	1151	1380	996	560	584
TRINITY_DN2163_c0_g1	TRINITY_DN2163_c0_g1_i1	1	929	-	929	222	254	424	191	205	336
TRINITY_DN2163_c0_g2	TRINITY_DN2163_c0_g2_i3	1	626	-	626	82	106	276	45	48	60
TRINITY_DN2131_c0_g1	TRINITY_DN2131_c0_g1_i2	1	1336	-	1336	4264	4000	6477	5295	3888	5479
TRINITY_DN2158_c0_g1	TRINITY_DN2158_c0_g1_i5	1	1997	-	1997	475	30	26	483	21	24
TRINITY_DN2133_c0_g1	TRINITY_DN2133_c0_g1_i9	1	2307	-	2307	253	185	431	107	101	291
TRINITY_DN2185_c0_g1	TRINITY_DN2185_c0_g1_i1	1	8119	-	8119	1739	3458	6526	135	258	447
TRINITY_DN2180_c0_g1	TRINITY_DN2180_c0_g1_i2	1	2566	-	2566	3283	2525	4160	1960	3208	2346
TRINITY_DN2117_c0_g1	TRINITY_DN2117_c0_g1_i6	1	2672	-	2672	41	392	123	17	37	7
TRINITY_DN2279_c0_g1	TRINITY_DN2279_c0_g1_i8	1	4217	-	4217	9470	5963	3751	470	1232	240
TRINITY_DN2279_c1_g3	TRINITY_DN2279_c1_g3_i6	1	2896	-	2896	4866	867	178	6834	481	241
TRINITY_DN2279_c1_g4	TRINITY_DN2279_c1_g4_i1	1	2321	-	2321	5127	29	10	4470	43	5
TRINITY_DN2279_c2_g1	TRINITY_DN2279_c2_g1_i2	1	2557	-	2557	334	397	798	152	109	377
TRINITY_DN2279_c2_g2	TRINITY_DN2279_c2_g2_i2	1	754	-	754	804	753	1261	547	562	581
TRINITY_DN2279_c2_g3	TRINITY_DN2279_c2_g3_i1	1	1750	-	1750	3770	1031	625	3885	524	234
TRINITY_DN2279_c3_g3	TRINITY_DN2279_c3_g3_i4	1	3414	-	3414	7707	5320	7094	2690	1565	1688
TRINITY_DN2279_c7_g1	TRINITY_DN2279_c7_g1_i1	1	3661	-	3661	18859	15881	25215	13833	9644	14516
TRINITY_DN2282_c0_g1	TRINITY_DN2282_c0_g1_i2	1	5914	-	5914	2273	5131	8633	2603	3871	8473
TRINITY_DN2244_c0_g1	TRINITY_DN2244_c0_g1_i1	1	962	-	962	3499	1044	2428	1950	677	1150
TRINITY_DN2200_c0_g1	TRINITY_DN2200_c0_g1_i6	1	2106	-	2106	1110	28	17	656	10	6
TRINITY_DN2283_c0_g2	TRINITY_DN2283_c0_g2_i2	1	566	-	566	114	126	203	158	90	118
TRINITY_DN2233_c0_g1	TRINITY_DN2233_c0_g1_i2	1	1436	-	1436	67	28	1605	19	7	261
TRINITY_DN2290_c0_g1	TRINITY_DN2290_c0_g1_i5	1	2737	-	2737	1377	884	1387	1099	1091	1789
TRINITY_DN2264_c0_g1	TRINITY_DN2264_c0_g1_i2	1	1108	-	1108	0	1617	140	26	478	107
TRINITY_DN2264_c0_g2	TRINITY_DN2264_c0_g2_i5	1	3012	-	3012	8	4829	475	105	1568	481
TRINITY_DN2280_c0_g1	TRINITY_DN2280_c0_g1_i10	1	1944	-	1944	5858	1355	729	4086	662	317
TRINITY_DN2253_c0_g1	TRINITY_DN2253_c0_g1_i7	1	3866	-	3866	1090	1229	1301	924	817	1188
TRINITY_DN2253_c1_g1	TRINITY_DN2253_c1_g1_i2	1	1625	-	1625	282	325	423	202	178	257
TRINITY_DN2232_c0_g1	TRINITY_DN2232_c0_g1_i7	1	1032	-	1032	179	133	203	121	56	176
TRINITY_DN2296_c0_g1	TRINITY_DN2296_c0_g1_i2	1	1368	-	1368	2778	2052	2746	2269	1845	1908
TRINITY_DN2261_c0_g1	TRINITY_DN2261_c0_g1_i5	1	4130	-	4130	5941	4363	5401	2509	1747	2172
TRINITY_DN2281_c0_g1	TRINITY_DN2281_c0_g1_i2	1	1811	-	1811	611	848	1872	854	768	1100
TRINITY_DN2281_c1_g1	TRINITY_DN2281_c1_g1_i5	1	2905	-	2905	3075	1941	1663	2455	1170	897
TRINITY_DN2281_c2_g1	TRINITY_DN2281_c2_g1_i1	1	1862	-	1862	1383	1748	472	2703	705	364
TRINITY_DN2281_c36_g1	TRINITY_DN2281_c36_g1_i1	1	1164	-	1164	59762	90034	104702	91900	135445	124840
TRINITY_DN2206_c0_g1	TRINITY_DN2206_c0_g1_i8	1	2975	-	2975	3333	5763	907	3534	5853	324
TRINITY_DN2236_c0_g1	TRINITY_DN2236_c0_g1_i3	1	1335	-	1335	89	396	167	153	471	430
TRINITY_DN2270_c0_g1	TRINITY_DN2270_c0_g1_i2	1	3054	-	3054	618	493	773	426	523	634
TRINITY_DN2225_c0_g1	TRINITY_DN2225_c0_g1_i2	1	2260	-	2260	1462	1033	1619	823	476	754
TRINITY_DN2276_c0_g1	TRINITY_DN2276_c0_g1_i3	1	2738	-	2738	1059	2521	8266	897	1854	4974
TRINITY_DN2276_c1_g1	TRINITY_DN2276_c1_g1_i2	1	1319	-	1319	1659	1463	2445	955	877	1305
TRINITY_DN2295_c0_g1	TRINITY_DN2295_c0_g1_i1	1	2045	-	2045	2395	5779	10535	2847	6323	10708
TRINITY_DN2295_c1_g1	TRINITY_DN2295_c1_g1_i5	1	5173	-	5173	1438	1088	419	1199	733	689
TRINITY_DN2207_c0_g1	TRINITY_DN2207_c0_g1_i5	1	5866	-	5866	1947	1337	1672	787	554	827
TRINITY_DN2214_c0_g1	TRINITY_DN2214_c0_g1_i4	1	11166	-	11166	2821	2311	3278	1622	899	1892
TRINITY_DN2214_c0_g2	TRINITY_DN2214_c0_g2_i1	1	1785	-	1785	128	270	651	233	302	726
TRINITY_DN2228_c0_g1	TRINITY_DN2228_c0_g1_i5	1	1621	-	1621	585	651	1884	428	543	1888
TRINITY_DN2254_c0_g1	TRINITY_DN2254_c0_g1_i1	1	4180	-	4180	3353	4144	6186	6162	9747	8635
TRINITY_DN2254_c1_g1	TRINITY_DN2254_c1_g1_i1	1	840	-	840	26	204	463	156	146	409
TRINITY_DN2218_c0_g1	TRINITY_DN2218_c0_g1_i1	1	2699	-	2699	274	3290	682	648	5569	1029
TRINITY_DN2230_c0_g1	TRINITY_DN2230_c0_g1_i4	1	3738	-	3738	11998	7274	5689	7228	3517	2640
TRINITY_DN2204_c0_g1	TRINITY_DN2204_c0_g1_i1	1	1683	-	1683	613	1384	2668	603	1029	1923
