"","GO.ID","Term","Annotated","Significant","Expected","classic","KS"
"1035","GO:0042063","gliogenesis",251,20,13.33,"0.27621","0.63191"
"1036","GO:0009913","epidermal cell differentiation",162,15,8.6,"0.27638","0.32823"
"1037","GO:0045665","negative regulation of neuron differenti...",202,13,10.73,"0.27658","0.78795"
"1038","GO:0089718","amino acid import across plasma membrane",20,7,1.06,"0.27666","0.46567"
"1039","GO:0016048","detection of temperature stimulus",31,7,1.65,"0.27695","0.63198"
"1040","GO:0001945","lymph vessel development",18,5,0.96,"0.27761","0.29945"
"1041","GO:0060323","head morphogenesis",40,6,2.12,"0.27769","0.40572"
"1042","GO:0070633","transepithelial transport",24,5,1.27,"0.27777","0.97977"
"1043","GO:0043542","endothelial cell migration",109,9,5.79,"0.27802","0.91453"
"1044","GO:0003179","heart valve morphogenesis",21,4,1.12,"0.27819","0.90581"
"1045","GO:0042116","macrophage activation",33,4,1.75,"0.27851","0.98588"
"1046","GO:0042693","muscle cell fate commitment",19,3,1.01,"0.27864","0.97676"
"1047","GO:0060856","establishment of blood-brain barrier",20,3,1.06,"0.27867","0.98125"
"1048","GO:0021879","forebrain neuron differentiation",42,4,2.23,"0.27875","0.80658"
"1049","GO:0035767","endothelial cell chemotaxis",25,3,1.33,"0.27880","0.65861"
"1050","GO:0006582","melanin metabolic process",45,4,2.39,"0.27883","0.29894"
"1051","GO:0001706","endoderm formation",46,4,2.44,"0.27886","0.15056"
"1052","GO:0050435","amyloid-beta metabolic process",29,3,1.54,"0.27891","0.92212"
"1053","GO:0009994","oocyte differentiation",218,12,11.58,"0.27943","0.89423"
"1054","GO:0002759","regulation of antimicrobial humoral resp...",32,2,1.7,"0.27949","0.29569"
"1055","GO:0070482","response to oxygen levels",318,17,16.89,"0.27959","0.98556"
"1056","GO:0002285","lymphocyte activation involved in immune...",72,3,3.82,"0.28005","0.45427"
"1057","GO:0050808","synapse organization",426,40,22.62,"0.28013","0.99414"
"1058","GO:0030098","lymphocyte differentiation",192,8,10.2,"0.28077","0.13021"
"1059","GO:0002263","cell activation involved in immune respo...",448,21,23.79,"0.28112","0.22016"
"1060","GO:0002066","columnar/cuboidal epithelial cell develo...",303,19,16.09,"0.28146","0.50247"
"1061","GO:0008355","olfactory learning",52,6,2.76,"0.28173","0.20628"
"1062","GO:0021549","cerebellum development",85,6,4.51,"0.28359","0.70164"
"1063","GO:0031290","retinal ganglion cell axon guidance",35,3,1.86,"0.28396","0.49238"
"1064","GO:0060048","cardiac muscle contraction",105,20,5.58,"0.28403","0.19944"
"1065","GO:0009888","tissue development",1718,123,91.24,"0.28468","0.90391"
"1066","GO:0046700","heterocycle catabolic process",648,15,34.42,"0.28484","0.70970"
"1067","GO:0042048","olfactory behavior",72,8,3.82,"0.28496","0.78208"
"1068","GO:0043603","amide metabolic process",1198,29,63.63,"0.28564","0.87333"
"1069","GO:0006760","folic acid-containing compound metabolic...",38,4,2.02,"0.28679","0.99205"
"1070","GO:0035904","aorta development",47,4,2.5,"0.28719","0.71625"
"1071","GO:0060412","ventricular septum morphogenesis",30,3,1.59,"0.28727","0.75421"
"1072","GO:0014002","astrocyte development",20,2,1.06,"0.28766","0.67889"
"1073","GO:0045684","positive regulation of epidermis develop...",20,2,1.06,"0.28766","0.91744"
"1074","GO:0042093","T-helper cell differentiation",20,2,1.06,"0.28766","0.98541"
"1075","GO:0030857","negative regulation of epithelial cell d...",20,2,1.06,"0.28766","0.90527"
"1076","GO:0043153","entrainment of circadian clock by photop...",20,2,1.06,"0.28766","0.46981"
"1077","GO:0003209","cardiac atrium morphogenesis",20,2,1.06,"0.28766","0.60824"
"1078","GO:0008293","torso signaling pathway",20,2,1.06,"0.28766","0.98437"
"1079","GO:0042660","positive regulation of cell fate specifi...",20,2,1.06,"0.28766","0.98528"
"1080","GO:0014051","gamma-aminobutyric acid secretion",20,2,1.06,"0.28766","0.94218"
"1081","GO:0001892","embryonic placenta development",68,4,3.61,"0.28812","0.79584"
"1082","GO:0007286","spermatid development",160,11,8.5,"0.28836","0.44101"
"1083","GO:0032091","negative regulation of protein binding",102,7,5.42,"0.29788","0.16821"
"1084","GO:0043043","peptide biosynthetic process",891,13,47.32,"0.29847","0.97159"
"1085","GO:0010830","regulation of myotube differentiation",36,3,1.91,"0.29870","0.64229"
"1086","GO:0021884","forebrain neuron development",36,3,1.91,"0.29870","0.83513"
"1087","GO:0046034","ATP metabolic process",213,11,11.31,"0.29971","0.00691"
"1088","GO:0022603","regulation of anatomical structure morph...",767,53,40.74,"0.29973","0.21166"
"1089","GO:0045785","positive regulation of cell adhesion",234,19,12.43,"0.30263","0.54258"
"1090","GO:0048863","stem cell differentiation",192,16,10.2,"0.30334","0.69721"
"1091","GO:0001709","cell fate determination",138,12,7.33,"0.30533","0.28468"
"1092","GO:0045844","positive regulation of striated muscle t...",55,5,2.92,"0.30664","0.95642"
"1093","GO:0040028","regulation of vulval development",68,5,3.61,"0.30724","0.09686"
"1094","GO:0045610","regulation of hemocyte differentiation",21,2,1.12,"0.30768","0.87901"
"1095","GO:0043053","dauer entry",21,2,1.12,"0.30768","0.94433"
"1096","GO:0046959","habituation",21,2,1.12,"0.30768","0.07317"
"1097","GO:0035020","regulation of Rac protein signal transdu...",21,2,1.12,"0.30768","0.63677"
"1098","GO:0048263","determination of dorsal identity",21,2,1.12,"0.30768","0.41576"
"1099","GO:0001714","endodermal cell fate specification",21,2,1.12,"0.30768","0.23404"
"1100","GO:0001569","branching involved in blood vessel morph...",21,2,1.12,"0.30768","0.86899"
"1101","GO:0042994","cytoplasmic sequestering of transcriptio...",21,2,1.12,"0.30768","0.82148"
"1102","GO:0007602","phototransduction",57,3,3.03,"0.30848","0.94114"
"1103","GO:0010033","response to organic substance",2051,109,108.93,"0.30860","0.77584"
"1104","GO:0002763","positive regulation of myeloid leukocyte...",65,3,3.45,"0.30885","0.77270"
"1105","GO:0007162","negative regulation of cell adhesion",169,7,8.98,"0.31020","0.39391"
"1106","GO:0044703","multi-organism reproductive process",1412,88,74.99,"0.31025","0.23460"
"1107","GO:0006955","immune response",1022,45,54.28,"0.31144","0.02650"
"1108","GO:0048522","positive regulation of cellular process",3417,179,181.48,"0.31234","0.31137"
"1109","GO:0001659","temperature homeostasis",37,3,1.97,"0.31349","0.97316"
"1110","GO:2000146","negative regulation of cell motility",181,16,9.61,"0.31435","0.75442"
"1111","GO:0006520","amino acid metabolic process",267,12,14.18,"0.31458","0.99998"
"1112","GO:0048483","autonomic nervous system development",27,5,1.43,"0.31597","1.00000"
"1113","GO:0072376","protein activation cascade",28,5,1.49,"0.31600","0.31159"
"1114","GO:0042445","hormone metabolic process",124,18,6.59,"0.31608","0.61985"
"1115","GO:0055022","negative regulation of cardiac muscle ti...",19,4,1.01,"0.31629","0.53558"
"1116","GO:0071555","cell wall organization",20,4,1.06,"0.31632","0.36851"
"1117","GO:0051145","smooth muscle cell differentiation",43,5,2.28,"0.31644","0.83681"
"1118","GO:0051956","negative regulation of amino acid transp...",18,3,0.96,"0.31681","0.96163"
"1119","GO:0003197","endocardial cushion development",23,3,1.22,"0.31696","0.97142"
"1120","GO:1904705","regulation of vascular associated smooth...",26,3,1.38,"0.31705","0.94795"
"1121","GO:0090504","epiboly",31,3,1.65,"0.31720","0.86745"
"1122","GO:0003254","regulation of membrane depolarization",34,3,1.81,"0.31728","0.99490"
"1123","GO:1900193","regulation of oocyte maturation",17,2,0.9,"0.31734","0.54741"
"1124","GO:0001941","postsynaptic membrane organization",18,2,0.96,"0.31737","0.31835"
"1125","GO:0051051","negative regulation of transport",325,29,17.26,"0.31739","0.24603"
"1126","GO:0010922","positive regulation of phosphatase activ...",23,2,1.22,"0.31751","0.12837"
"1127","GO:0031076","embryonic camera-type eye development",26,2,1.38,"0.31760","0.82867"
"1128","GO:0032374","regulation of cholesterol transport",29,2,1.54,"0.31769","0.92815"
"1129","GO:0045010","actin nucleation",36,2,1.91,"0.31790","0.09883"
"1130","GO:0048525","negative regulation of viral process",45,2,2.39,"0.31816","0.43754"
"1131","GO:0006952","defense response",876,46,46.52,"0.31831","0.28526"
"1132","GO:0050684","regulation of mRNA processing",127,6,6.74,"0.31837","0.92296"
"1133","GO:0002446","neutrophil mediated immunity",359,18,19.07,"0.31857","0.75385"
"1134","GO:0009117","nucleotide metabolic process",495,19,26.29,"0.32221","0.23640"
"1135","GO:0001775","cell activation",841,37,44.67,"0.32263","0.97689"
"1136","GO:0006725","cellular aromatic compound metabolic pro...",3767,148,200.07,"0.32306","0.57505"
"1137","GO:0051169","nuclear transport",343,8,18.22,"0.32380","0.64862"
"1138","GO:0007616","long-term memory",71,5,3.77,"0.32498","0.53336"
"1139","GO:1900006","positive regulation of dendrite developm...",88,6,4.67,"0.32505","0.38499"
"1140","GO:0014075","response to amine",49,6,2.6,"0.32527","0.42325"
"1141","GO:0048663","neuron fate commitment",74,7,3.93,"0.32556","0.89789"
"1142","GO:0071236","cellular response to antibiotic",140,9,7.44,"0.32634","0.20155"
"1143","GO:0034334","adherens junction maintenance",22,2,1.17,"0.32760","0.81705"
"1144","GO:0030851","granulocyte differentiation",22,2,1.17,"0.32760","0.84110"
"1145","GO:0060706","cell differentiation involved in embryon...",22,2,1.17,"0.32760","0.45967"
"1146","GO:0009642","response to light intensity",22,2,1.17,"0.32760","0.50556"
"1147","GO:0010955","negative regulation of protein processin...",22,2,1.17,"0.32760","0.51408"
"1148","GO:0031146","SCF-dependent proteasomal ubiquitin-depe...",22,2,1.17,"0.32760","0.21155"
"1149","GO:0047497","mitochondrion transport along microtubul...",22,2,1.17,"0.32760","0.63395"
"1150","GO:0031581","hemidesmosome assembly",22,2,1.17,"0.32760","0.43505"
"1151","GO:0032941","secretion by tissue",22,2,1.17,"0.32760","0.58263"
"1152","GO:0051453","regulation of intracellular pH",55,3,2.92,"0.32828","0.37903"
"1153","GO:0070373","negative regulation of ERK1 and ERK2 cas...",38,3,2.02,"0.32829","0.83866"
"1154","GO:0034308","primary alcohol metabolic process",38,3,2.02,"0.32829","0.37029"
"1155","GO:0071901","negative regulation of protein serine/th...",107,4,5.68,"0.32989","0.33574"
"1156","GO:0051246","regulation of protein metabolic process",1783,73,94.7,"0.33279","0.23943"
"1157","GO:0048469","cell maturation",286,22,15.19,"0.33590","0.44502"
"1158","GO:0031032","actomyosin structure organization",231,19,12.27,"0.33604","0.60109"
"1159","GO:0010043","response to zinc ion",63,8,3.35,"0.33865","0.05351"
"1160","GO:0097190","apoptotic signaling pathway",446,12,23.69,"0.33943","0.83620"
"1161","GO:0090090","negative regulation of canonical Wnt sig...",107,7,5.68,"0.34109","0.63460"
"1162","GO:0048562","embryonic organ morphogenesis",262,35,13.91,"0.34115","0.99739"
"1163","GO:1903428","positive regulation of reactive oxygen s...",39,3,2.07,"0.34309","0.54481"
"1164","GO:0048565","digestive tract development",273,27,14.5,"0.34332","0.57321"
"1165","GO:0070887","cellular response to chemical stimulus",1890,104,100.38,"0.34402","0.63629"
"1166","GO:0010634","positive regulation of epithelial cell m...",83,8,4.41,"0.34470","0.25518"
"1167","GO:0043269","regulation of monoatomic ion transport",336,33,17.84,"0.34477","0.68986"
"1168","GO:0015837","amine transport",116,21,6.16,"0.34519","0.90231"
"1169","GO:0009605","response to external stimulus",2001,157,106.27,"0.34610","0.86506"
"1170","GO:0051962","positive regulation of nervous system de...",457,36,24.27,"0.34682","0.78122"
"1171","GO:2001258","negative regulation of cation channel ac...",23,2,1.22,"0.34735","0.54567"
"1172","GO:0032651","regulation of interleukin-1 beta product...",23,2,1.22,"0.34735","0.99298"
"1173","GO:0071709","membrane assembly",23,2,1.22,"0.34735","0.80867"
"1174","GO:0002686","negative regulation of leukocyte migrati...",23,2,1.22,"0.34735","0.99412"
"1175","GO:0040040","thermosensory behavior",23,2,1.22,"0.34735","0.83314"
"1176","GO:0048680","positive regulation of axon regeneration",23,2,1.22,"0.34735","0.43761"
"1177","GO:0043200","response to amino acid",143,14,7.59,"0.34822","0.30486"
"1178","GO:0002064","epithelial cell development",411,30,21.83,"0.34859","0.23314"
"1179","GO:0007548","sex differentiation",362,28,19.23,"0.34875","0.24418"
"1180","GO:0043933","protein-containing complex organization",2124,77,112.81,"0.34883","0.94730"
"1181","GO:0031400","negative regulation of protein modificat...",463,20,24.59,"0.34998","0.94353"
"1182","GO:1903055","positive regulation of extracellular mat...",24,6,1.27,"0.35138","0.82058"
"1183","GO:0002028","regulation of sodium ion transport",46,6,2.44,"0.35207","0.99183"
"1184","GO:0032891","negative regulation of organic acid tran...",26,4,1.38,"0.35264","0.22190"
"1185","GO:0032964","collagen biosynthetic process",26,4,1.38,"0.35264","0.75662"
"1186","GO:0099504","synaptic vesicle cycle",160,11,8.5,"0.35270","0.10846"
"1187","GO:0060415","muscle tissue morphogenesis",66,6,3.51,"0.35271","0.58993"
"1188","GO:0008366","axon ensheathment",107,8,5.68,"0.35281","0.80704"
"1189","GO:0098743","cell aggregation",18,3,0.96,"0.35299","0.96269"
"1190","GO:0051969","regulation of transmission of nerve impu...",19,3,1.01,"0.35302","0.99685"
"1191","GO:0060249","anatomical structure homeostasis",408,26,21.67,"0.35306","0.77737"
"1192","GO:0042982","amyloid precursor protein metabolic proc...",37,3,1.97,"0.35359","0.69675"
"1193","GO:0035006","melanization defense response",39,3,2.07,"0.35366","0.61479"
"1194","GO:0033628","regulation of cell adhesion mediated by ...",22,2,1.17,"0.35371","0.92074"
"1195","GO:0007368","determination of left/right symmetry",159,13,8.44,"0.35375","0.59777"
"1196","GO:1903998","regulation of eating behavior",42,3,2.23,"0.35375","0.92473"
"1197","GO:0042401","biogenic amine biosynthetic process",25,2,1.33,"0.35381","0.08473"
"1198","GO:0032892","positive regulation of organic acid tran...",26,2,1.38,"0.35384","0.33323"
"1199","GO:0007501","mesodermal cell fate specification",46,3,2.44,"0.35388","0.55284"
"1200","GO:0022029","telencephalon cell migration",57,3,3.03,"0.35423","0.42053"
"1201","GO:0007189","adenylate cyclase-activating G protein-c...",51,5,2.71,"0.35613","0.85344"
"1202","GO:0055002","striated muscle cell development",157,19,8.34,"0.35679","0.08361"
"1203","GO:0043652","engulfment of apoptotic cell",40,3,2.12,"0.35786","0.96723"
"1204","GO:0071711","basement membrane organization",57,8,3.03,"0.36278","0.35569"
"1205","GO:0000578","embryonic axis specification",152,11,8.07,"0.36475","0.26211"
"1206","GO:0050768","negative regulation of neurogenesis",279,16,14.82,"0.36612","0.67668"
"1207","GO:0007589","body fluid secretion",68,5,3.61,"0.36626","0.46231"
"1208","GO:0061062","regulation of nematode larval developmen...",115,7,6.11,"0.36674","0.12951"
"1209","GO:0044319","wound healing, spreading of cells",24,2,1.27,"0.36691","0.33719"
"1210","GO:0072499","photoreceptor cell axon guidance",24,2,1.27,"0.36691","0.52383"
"1211","GO:0031128","developmental induction",24,2,1.27,"0.36691","0.94116"
"1212","GO:0032760","positive regulation of tumor necrosis fa...",24,2,1.27,"0.36691","0.22467"
"1213","GO:0021854","hypothalamus development",24,2,1.27,"0.36691","0.19014"
"1214","GO:0071287","cellular response to manganese ion",24,2,1.27,"0.36691","0.54826"
"1215","GO:0045199","maintenance of epithelial cell apical/ba...",24,2,1.27,"0.36691","0.71810"
"1216","GO:0010002","cardioblast differentiation",24,2,1.27,"0.36691","0.11538"
"1217","GO:0035206","regulation of hemocyte proliferation",24,2,1.27,"0.36691","0.09218"
"1218","GO:0045742","positive regulation of epidermal growth ...",24,2,1.27,"0.36691","0.47672"
"1219","GO:0045737","positive regulation of cyclin-dependent ...",24,2,1.27,"0.36691","0.96784"
"1220","GO:0042953","lipoprotein transport",24,2,1.27,"0.36691","0.81156"
"1221","GO:1905476","negative regulation of protein localizat...",24,2,1.27,"0.36691","0.78167"
"1222","GO:0055059","asymmetric neuroblast division",46,3,2.44,"0.36707","0.66479"
"1223","GO:0030595","leukocyte chemotaxis",84,5,4.46,"0.36709","0.29525"
"1224","GO:0008360","regulation of cell shape",133,11,7.06,"0.36761","0.29960"
"1225","GO:0001933","negative regulation of protein phosphory...",333,16,17.69,"0.37114","0.50525"
"1226","GO:0098869","cellular oxidant detoxification",58,4,3.08,"0.37123","0.47865"
"1227","GO:0050804","modulation of chemical synaptic transmis...",316,42,16.78,"0.37174","0.04241"
"1228","GO:1901570","fatty acid derivative biosynthetic proce...",41,3,2.18,"0.37258","0.75932"
"1229","GO:0022411","cellular component disassembly",434,18,23.05,"0.37275","0.73829"
"1230","GO:1902600","proton transmembrane transport",96,9,5.1,"0.37346","0.27307"
"1231","GO:0000902","cell morphogenesis",1007,88,53.48,"0.37441","0.20815"
"1232","GO:0007275","multicellular organism development",4144,260,220.09,"0.37574","0.91986"
"1233","GO:0046677","response to antibiotic",365,22,19.39,"0.37653","0.12289"
"1234","GO:0015872","dopamine transport",44,8,2.34,"0.38492","0.21035"
"1235","GO:0051938","L-glutamate import",25,7,1.33,"0.38492","0.68141"
"1236","GO:0034121","regulation of toll-like receptor signali...",42,4,2.23,"0.38514","0.34066"
"1237","GO:1903523","negative regulation of blood circulation",32,7,1.7,"0.38516","0.01930"
"1238","GO:0035151","regulation of tube size, open tracheal s...",58,8,3.08,"0.38539","0.43664"
"1239","GO:0072001","renal system development",305,21,16.2,"0.38539","0.48137"
"1240","GO:0007520","myoblast fusion",58,5,3.08,"0.38578","0.52383"
"1241","GO:0060348","bone development",130,8,6.9,"0.38581","0.77794"
"1242","GO:0003208","cardiac ventricle morphogenesis",58,7,3.08,"0.38603","0.99738"
"1243","GO:0014812","muscle cell migration",77,8,4.09,"0.38604","0.45664"
"1244","GO:0035307","positive regulation of protein dephospho...",41,3,2.18,"0.38608","0.95675"
"1245","GO:0001666","response to hypoxia",276,13,14.66,"0.38620","0.08196"
"1246","GO:0090279","regulation of calcium ion import",25,2,1.33,"0.38623","0.18704"
"1247","GO:0099601","regulation of neurotransmitter receptor ...",25,2,1.33,"0.38623","0.34041"
"1248","GO:0019934","cGMP-mediated signaling",25,2,1.33,"0.38623","0.32619"
"1249","GO:0008258","head involution",25,2,1.33,"0.38623","0.94869"
"1250","GO:0072529","pyrimidine-containing compound catabolic...",25,2,1.33,"0.38623","0.71135"
"1251","GO:0043931","ossification involved in bone maturation",25,2,1.33,"0.38623","0.16587"
"1252","GO:1903539","protein localization to postsynaptic mem...",25,2,1.33,"0.38623","0.29901"
"1253","GO:0045744","negative regulation of G protein-coupled...",23,4,1.22,"0.38677","0.66751"
"1254","GO:0051589","negative regulation of neurotransmitter ...",24,4,1.27,"0.38681","0.98386"
"1255","GO:0010712","regulation of collagen metabolic process",27,4,1.43,"0.38691","0.33036"
"1256","GO:0045761","regulation of adenylate cyclase activity",28,4,1.49,"0.38694","0.26877"
"1257","GO:0043401","steroid hormone mediated signaling pathw...",111,8,5.9,"0.38719","0.10049"
"1258","GO:0090278","negative regulation of peptide hormone s...",36,4,1.91,"0.38721","0.75455"
"1259","GO:0032354","response to follicle-stimulating hormone",24,3,1.27,"0.38745","0.39183"
"1260","GO:0048864","stem cell development",53,4,2.81,"0.38779","0.89453"
"1261","GO:0070371","ERK1 and ERK2 cascade",131,8,6.96,"0.38788","0.23306"
"1262","GO:0050891","multicellular organismal-level water hom...",25,2,1.33,"0.38812","0.94472"
"1263","GO:0048581","negative regulation of post-embryonic de...",49,3,2.6,"0.38829","0.80353"
"1264","GO:1901343","negative regulation of vasculature devel...",71,4,3.77,"0.38840","0.50962"
"1265","GO:0034109","homotypic cell-cell adhesion",34,2,1.81,"0.38842","0.19587"
"1266","GO:0040001","establishment of mitotic spindle localiz...",86,3,4.57,"0.38848","0.91657"
"1267","GO:0019222","regulation of metabolic process",3912,174,207.77,"0.38897","0.32794"
"1268","GO:0030866","cortical actin cytoskeleton organization",87,4,4.62,"0.38901","0.41811"
"1269","GO:0097300","programmed necrotic cell death",52,2,2.76,"0.38904","0.56253"
"1270","GO:0050770","regulation of axonogenesis",200,15,10.62,"0.39022","0.81826"
"1271","GO:0034097","response to cytokine",644,28,34.2,"0.39357","0.61596"
"1272","GO:0014706","striated muscle tissue development",290,19,15.4,"0.39497","0.11146"
"1273","GO:0035019","somatic stem cell population maintenance",60,4,3.19,"0.39569","0.08673"
"1274","GO:0050727","regulation of inflammatory response",133,13,7.06,"0.39979","0.02733"
"1275","GO:0030279","negative regulation of ossification",43,3,2.28,"0.40182","0.27067"
"1276","GO:0007015","actin filament organization",289,16,15.35,"0.40191","0.38281"
"1277","GO:0046686","response to cadmium ion",64,4,3.4,"0.40197","0.92127"
"1278","GO:0048168","regulation of neuronal synaptic plastici...",52,4,2.76,"0.40466","0.55802"
"1279","GO:0050871","positive regulation of B cell activation",26,2,1.38,"0.40529","0.65053"
"1280","GO:0014850","response to muscle activity",26,2,1.38,"0.40529","0.21399"
"1281","GO:0048169","regulation of long-term neuronal synapti...",26,2,1.38,"0.40529","0.01774"
"1282","GO:0048148","behavioral response to cocaine",26,2,1.38,"0.40529","0.59111"
"1283","GO:0065001","specification of axis polarity",26,2,1.38,"0.40529","0.31329"
"1284","GO:0050919","negative chemotaxis",26,2,1.38,"0.40529","0.09769"
"1285","GO:0007509","mesoderm migration involved in gastrulat...",26,2,1.38,"0.40529","0.95416"
"1286","GO:0071482","cellular response to light stimulus",138,5,7.33,"0.40834","0.45689"
"1287","GO:0006814","sodium ion transport",122,25,6.48,"0.40837","0.59011"
"1288","GO:0043525","positive regulation of neuron apoptotic ...",79,5,4.2,"0.41046","0.32260"
"1289","GO:0031646","positive regulation of nervous system pr...",59,8,3.13,"0.41076","0.56558"
"1290","GO:0016055","Wnt signaling pathway",361,14,19.17,"0.41143","0.85454"
"1291","GO:0070252","actin-mediated cell contraction",110,19,5.84,"0.41208","0.53273"
"1292","GO:0006835","dicarboxylic acid transport",69,13,3.66,"0.41473","0.38149"
"1293","GO:0007595","lactation",44,3,2.34,"0.41629","0.19098"
"1294","GO:0051899","membrane depolarization",69,10,3.66,"0.41677","0.76717"
"1295","GO:0009268","response to pH",40,8,2.12,"0.41709","0.97534"
"1296","GO:0030330","DNA damage response, signal transduction...",76,4,4.04,"0.41721","0.76862"
"1297","GO:0051963","regulation of synapse assembly",159,13,8.44,"0.41795","0.41105"
"1298","GO:0018958","phenol-containing compound metabolic pro...",105,9,5.58,"0.41873","0.82683"
"1299","GO:0045843","negative regulation of striated muscle t...",37,5,1.97,"0.41901","0.91392"
"1300","GO:0050848","regulation of calcium-mediated signaling",51,5,2.71,"0.41951","0.97550"
"1301","GO:0046323","glucose import",58,5,3.08,"0.41976","0.30129"
"1302","GO:0043030","regulation of macrophage activation",21,3,1.12,"0.41979","0.07430"
"1303","GO:0090136","epithelial cell-cell adhesion",21,3,1.12,"0.41979","0.86441"
"1304","GO:0030947","regulation of vascular endothelial growt...",23,3,1.22,"0.41986","0.95803"
"1305","GO:0048701","embryonic cranial skeleton morphogenesis",46,7,2.44,"0.41988","0.01220"
"1306","GO:0009792","embryo development ending in birth or eg...",956,60,50.77,"0.41998","0.24250"
"1307","GO:0044091","membrane biogenesis",33,3,1.75,"0.42021","0.90310"
"1308","GO:0031445","regulation of heterochromatin formation",20,2,1.06,"0.42042","0.69298"
"1309","GO:2000036","regulation of stem cell population maint...",22,2,1.17,"0.42049","0.48531"
"1310","GO:0060117","auditory receptor cell development",28,2,1.49,"0.42071","0.59131"
"1311","GO:1905165","regulation of lysosomal protein cataboli...",10,1,0.53,"0.42074","0.52468"
"1312","GO:0014019","neuroblast development",10,1,0.53,"0.42074","0.57156"
"1313","GO:0090493","catecholamine uptake",10,1,0.53,"0.42074","0.20886"
"1314","GO:0045616","regulation of keratinocyte differentiati...",10,1,0.53,"0.42074","0.56947"
"1315","GO:0098901","regulation of cardiac muscle cell action...",10,1,0.53,"0.42074","0.99276"
"1316","GO:0060484","lung-associated mesenchyme development",10,1,0.53,"0.42074","0.28380"
"1317","GO:0019852","L-ascorbic acid metabolic process",10,1,0.53,"0.42074","0.97438"
"1318","GO:0060134","prepulse inhibition",10,1,0.53,"0.42074","0.45312"
"1319","GO:1990359","stress response to zinc ion",10,1,0.53,"0.42074","0.56712"
"1320","GO:1901950","dense core granule transport",10,1,0.53,"0.42074","0.34975"
"1321","GO:0034475","U4 snRNA 3'-end processing",10,1,0.53,"0.42074","0.76883"
"1322","GO:0003384","apical constriction involved in gastrula...",10,1,0.53,"0.42074","0.02108"
"1323","GO:0061066","positive regulation of dauer larval deve...",10,1,0.53,"0.42074","0.33571"
"1324","GO:1900195","positive regulation of oocyte maturation",10,1,0.53,"0.42074","0.20328"
"1325","GO:0051044","positive regulation of membrane protein ...",10,1,0.53,"0.42074","0.24516"
"1326","GO:0060896","neural plate pattern specification",10,1,0.53,"0.42074","0.02651"
"1327","GO:0061009","common bile duct development",10,1,0.53,"0.42074","0.11302"
"1328","GO:0010642","negative regulation of platelet-derived ...",10,1,0.53,"0.42074","0.96711"
"1329","GO:0033197","response to vitamin E",10,1,0.53,"0.42074","0.21859"
"1330","GO:1903019","negative regulation of glycoprotein meta...",10,1,0.53,"0.42074","0.53395"
"1331","GO:0002313","mature B cell differentiation involved i...",10,1,0.53,"0.42074","0.97586"
"1332","GO:0042481","regulation of odontogenesis",10,1,0.53,"0.42074","0.67296"
"1333","GO:1900221","regulation of amyloid-beta clearance",10,1,0.53,"0.42074","0.67901"
"1334","GO:0003198","epithelial to mesenchymal transition inv...",10,1,0.53,"0.42074","0.67221"
"1335","GO:0003176","aortic valve development",10,1,0.53,"0.42074","0.92881"
"1336","GO:0031453","positive regulation of heterochromatin f...",10,1,0.53,"0.42074","0.70852"
"1337","GO:0003149","membranous septum morphogenesis",10,1,0.53,"0.42074","0.02449"
"1338","GO:0043282","chordate pharyngeal muscle development",10,1,0.53,"0.42074","0.32211"
"1339","GO:0031427","response to methotrexate",10,1,0.53,"0.42074","0.65881"
"1340","GO:0014821","phasic smooth muscle contraction",10,1,0.53,"0.42074","0.58691"
"1341","GO:0003266","regulation of secondary heart field card...",10,1,0.53,"0.42074","0.63002"
"1342","GO:0051350","negative regulation of lyase activity",10,1,0.53,"0.42074","0.47680"
"1343","GO:0014807","regulation of somitogenesis",10,1,0.53,"0.42074","0.92881"
"1344","GO:0060601","lateral sprouting from an epithelium",10,1,0.53,"0.42074","0.03515"
"1345","GO:0031295","T cell costimulation",10,1,0.53,"0.42074","0.12813"
"1346","GO:2000254","regulation of male germ cell proliferati...",10,1,0.53,"0.42074","0.16502"
"1347","GO:2000274","regulation of epithelial cell migration,...",10,1,0.53,"0.42074","0.13564"
"1348","GO:1902339","positive regulation of apoptotic process...",10,1,0.53,"0.42074","0.85239"
"1349","GO:2000794","regulation of epithelial cell proliferat...",10,1,0.53,"0.42074","0.03515"
"1350","GO:0043584","nose development",10,1,0.53,"0.42074","0.62086"
"1351","GO:0035357","peroxisome proliferator activated recept...",10,1,0.53,"0.42074","0.90828"
"1352","GO:0042832","defense response to protozoan",10,1,0.53,"0.42074","0.50749"
"1353","GO:0048240","sperm capacitation",10,1,0.53,"0.42074","0.35376"
"1354","GO:2000738","positive regulation of stem cell differe...",10,1,0.53,"0.42074","0.43430"
"1355","GO:0060982","coronary artery morphogenesis",10,1,0.53,"0.42074","0.96635"
"1356","GO:0060979","vasculogenesis involved in coronary vasc...",10,1,0.53,"0.42074","0.28380"
"1357","GO:1902416","positive regulation of mRNA binding",10,1,0.53,"0.42074","0.59758"
"1358","GO:1902430","negative regulation of amyloid-beta form...",10,1,0.53,"0.42074","0.44046"
"1359","GO:0070922","RISC complex assembly",10,1,0.53,"0.42074","0.10081"
"1360","GO:0001839","neural plate morphogenesis",10,1,0.53,"0.42074","0.45312"
"1361","GO:0035188","hatching",10,1,0.53,"0.42074","0.63119"
"1362","GO:0009048","dosage compensation by inactivation of X...",10,1,0.53,"0.42074","0.25171"
